Digital_Engagement_ID,Date,New_Digital_Users,Total_Visitors,Cumulative_Users,Penetration_Rate
77,2021-06-20,117,341,13467,0.5387
78,2021-06-27,110,324,13577,0.5431
79,2021-07-04,107,334,13684,0.5474
80,2021-07-11,117,345,13801,0.552
81,2021-07-18,121,357,13922,0.5569
82,2021-07-25,106,315,14028,0.5611
83,2021-08-01,114,334,14142,0.5657
84,2021-08-08,108,327,14250,0.57
85,2021-08-15,113,335,14363,0.5745
86,2021-08-22,118,354,14481,0.5792
87,2021-08-29,91,270,14572,0.5829
88,2021-09-05,89,260,14661,0.5864
89,2021-09-12,114,338,14775,0.591
90,2021-09-19,111,330,14886,0.5954
91,2021-09-26,121,348,15007,0.6003
92,2021-10-03,110,316,15117,0.6047
93,2021-10-10,99,301,15216,0.6086
94,2021-10-17,87,257,15303,0.6121
95,2021-10-24,114,340,15417,0.6167
96,2021-10-31,103,313,15520,0.6208
97,2021-11-07,83,250,15603,0.6241
98,2021-11-14,81,239,15684,0.6274
99,2021-11-21,98,291,15782,0.6313
100,2021-11-28,88,271,15870,0.6348
101,2021-12-05,89,268,15959,0.6384
102,2021-12-12,102,308,16061,0.6424
103,2021-12-19,74,223,16135,0.6454
104,2021-12-26,87,258,16222,0.6489
105,2022-01-02,93,278,16315,0.6526
106,2022-01-09,82,252,16397,0.6559
107,2022-01-16,87,255,16484,0.6594
108,2022-01-23,85,262,16569,0.6628
109,2022-01-30,74,223,16643,0.6657
110,2022-02-06,83,246,16726,0.669
111,2022-02-13,95,272,16821,0.6728
112,2022-02-20,75,226,16896,0.6758
113,2022-02-27,83,263,16979,0.6792
114,2022-03-06,73,236,17052,0.6821
115,2022-03-13,64,192,17116,0.6846
116,2022-03-20,76,236,17192,0.6877
117,2022-03-27,78,229,17270,0.6908
118,2022-04-03,80,235,17350,0.694
119,2022-04-10,56,167,17406,0.6962
120,2022-04-17,62,185,17468,0.6987
121,2022-04-24,83,246,17551,0.702
122,2022-05-01,75,224,17626,0.705
123,2022-05-08,72,221,17698,0.7079
124,2022-05-15,74,223,17772,0.7109
125,2022-05-22,76,233,17848,0.7139
126,2022-05-29,68,195,17916,0.7166
127,2022-06-05,63,189,17979,0.7192
128,2022-06-12,68,208,18047,0.7219
129,2022-06-19,74,223,18121,0.7248
130,2022-06-26,69,213,18190,0.7276
131,2022-07-03,74,225,18264,0.7306
132,2022-07-10,70,199,18334,0.7334
133,2022-07-17,46,137,18380,0.7352
134,2022-07-24,62,183,18442,0.7377
135,2022-07-31,57,174,18499,0.74
136,2022-08-07,66,192,18565,0.7426
137,2022-08-14,65,203,18630,0.7452
138,2022-08-21,53,160,18683,0.7473
139,2022-08-28,48,143,18731,0.7492
140,2022-09-04,77,234,18808,0.7523
141,2022-09-11,70,213,18878,0.7551
142,2022-09-18,57,174,18935,0.7574
143,2022-09-25,62,185,18997,0.7599
144,2022-10-02,56,166,19053,0.7621
145,2022-10-09,49,146,19102,0.7641
146,2022-10-16,58,176,19160,0.7664
147,2022-10-23,61,185,19221,0.7688
148,2022-10-30,47,141,19268,0.7707
149,2022-11-06,47,140,19315,0.7726
150,2022-11-13,53,148,19368,0.7747
151,2022-11-20,58,171,19426,0.777
152,2022-11-27,65,199,19491,0.7796
153,2022-12-04,63,183,19554,0.7822
154,2022-12-11,66,197,19620,0.7848
155,2022-12-18,60,186,19680,0.7872
156,2022-12-25,59,173,19739,0.7896
157,2023-01-01,39,123,19778,0.7911
158,2023-01-08,62,174,19840,0.7936
159,2023-01-15,55,161,19895,0.7958
160,2023-01-22,49,146,19944,0.7978
161,2023-01-29,49,157,19993,0.7997
162,2023-02-05,61,168,20054,0.8022
163,2023-02-12,71,210,20125,0.805
164,2023-02-19,49,141,20174,0.807
165,2023-02-26,42,132,20216,0.8086
166,2023-03-05,39,116,20255,0.8102
167,2023-03-12,61,176,20316,0.8126
168,2023-03-19,53,152,20369,0.8148
169,2023-03-26,48,142,20417,0.8167
170,2023-04-02,49,152,20466,0.8186
171,2023-04-09,43,125,20509,0.8204
172,2023-04-16,43,131,20552,0.8221
173,2023-04-23,42,132,20594,0.8238
174,2023-04-30,41,125,20635,0.8254
175,2023-05-07,43,134,20678,0.8271
176,2023-05-14,39,115,20717,0.8287
177,2023-05-21,39,119,20756,0.8302
178,2023-05-28,37,106,20793,0.8317
179,2023-06-04,47,136,20840,0.8336
180,2023-06-11,56,167,20896,0.8358
181,2023-06-18,49,148,20945,0.8378
182,2023-06-25,32,86,20977,0.8391
183,2023-07-02,43,128,21020,0.8408
184,2023-07-09,31,89,21051,0.842
185,2023-07-16,35,102,21086,0.8434
186,2023-07-23,34,99,21120,0.8448
187,2023-07-30,36,108,21156,0.8462
188,2023-08-06,37,115,21193,0.8477
189,2023-08-13,35,105,21228,0.8491
190,2023-08-20,31,95,21259,0.8504
191,2023-08-27,25,74,21284,0.8514
192,2023-09-03,30,81,21314,0.8526
193,2023-09-10,36,113,21350,0.854
194,2023-09-17,22,65,21372,0.8549
195,2023-09-24,34,100,21406,0.8562
196,2023-10-01,29,86,21435,0.8574
197,2023-10-08,32,97,21467,0.8587
198,2023-10-15,33,101,21500,0.86
199,2023-10-22,53,157,21553,0.8621
200,2023-10-29,33,105,21586,0.8634
201,2023-11-05,38,111,21624,0.865
202,2023-11-12,41,127,21665,0.8666
203,2023-11-19,31,95,21696,0.8678
204,2023-11-26,36,105,21732,0.8693
205,2023-12-03,39,117,21771,0.8708
206,2023-12-10,40,124,21811,0.8724
207,2023-12-17,30,100,21841,0.8736
208,2023-12-24,37,108,21878,0.8751
209,2023-12-31,34,99,21912,0.8765
210,2024-01-07,30,95,21942,0.8777
211,2024-01-14,28,82,21970,0.8788
212,2024-01-21,33,100,22003,0.8801
213,2024-01-28,33,97,22036,0.8814
214,2024-02-04,26,79,22062,0.8825
215,2024-02-11,31,89,22093,0.8837
216,2024-02-18,32,94,22125,0.885
217,2024-02-25,31,95,22156,0.8862
218,2024-03-03,25,72,22181,0.8872
219,2024-03-10,30,91,22211,0.8884
220,2024-03-17,39,115,22250,0.89
221,2024-03-24,28,92,22278,0.8911
222,2024-03-31,16,47,22294,0.8918
223,2024-04-07,25,70,22319,0.8928
224,2024-04-14,21,61,22340,0.8936
225,2024-04-21,25,73,22365,0.8946
226,2024-04-28,35,105,22400,0.896
227,2024-05-05,24,68,22424,0.897
228,2024-05-12,29,84,22453,0.8981
229,2024-05-19,20,58,22473,0.8989
230,2024-05-26,31,93,22504,0.9002
231,2024-06-02,31,98,22535,0.9014
232,2024-06-09,24,71,22559,0.9024
233,2024-06-16,30,85,22589,0.9036
234,2024-06-23,25,72,22614,0.9046
235,2024-06-30,28,83,22642,0.9057
236,2024-07-07,25,71,22667,0.9067
237,2024-07-14,24,81,22691,0.9076
238,2024-07-21,24,69,22715,0.9086
239,2024-07-28,19,57,22734,0.9094
240,2024-08-04,24,68,22758,0.9103
241,2024-08-11,18,55,22776,0.911
242,2024-08-18,17,53,22793,0.9117
243,2024-08-25,23,76,22816,0.9126
244,2024-09-01,35,108,22851,0.914
245,2024-09-08,28,83,22879,0.9152
246,2024-09-15,24,71,22903,0.9161
247,2024-09-22,15,45,22918,0.9167
248,2024-09-29,25,71,22943,0.9177
249,2024-10-06,18,52,22961,0.9184
250,2024-10-13,22,69,22983,0.9193
251,2024-10-20,20,59,23003,0.9201
252,2024-10-27,23,70,23026,0.921
253,2024-11-03,21,62,23047,0.9219
254,2024-11-10,18,67,23065,0.9226
255,2024-11-17,18,53,23083,0.9233
256,2024-11-24,16,49,23099,0.924
257,2024-12-01,23,71,23122,0.9249
258,2024-12-08,18,56,23140,0.9256
259,2024-12-15,23,63,23163,0.9265
260,2024-12-22,31,89,23194,0.9278
261,2024-12-29,15,44,23209,0.9284
262,2025-01-05,23,74,23232,0.9293
263,2025-01-12,16,52,23248,0.9299
264,2025-01-19,16,50,23264,0.9306
265,2025-01-26,15,42,23279,0.9312
266,2025-02-02,14,37,23293,0.9317
267,2025-02-09,23,67,23316,0.9326
268,2025-02-16,15,45,23331,0.9332
269,2025-02-23,15,48,23346,0.9338
270,2025-03-02,17,51,23363,0.9345
271,2025-03-09,17,49,23380,0.9352
272,2025-03-16,16,51,23396,0.9358
273,2025-03-23,16,49,23412,0.9365
274,2025-03-30,20,58,23432,0.9373
275,2025-04-06,17,50,23449,0.938
276,2025-04-13,19,57,23468,0.9387
277,2025-04-20,12,34,23480,0.9392
278,2025-04-27,6,20,23486,0.9394
279,2025-05-04,14,41,23500,0.94
280,2025-05-11,15,48,23515,0.9406
281,2025-05-18,12,38,23527,0.9411
282,2025-05-25,8,21,23535,0.9414
