Customer_Satisfaction_ID,Date,Promoters,Detractors,Total_Surveys,Total_Scores
226,2020-08-13,6,1,10,81
227,2020-08-14,2,0,3,27
228,2020-08-15,9,1,10,88
229,2020-08-16,6,0,9,82
230,2020-08-17,7,0,8,72
231,2020-08-18,1,2,5,32
232,2020-08-19,9,4,16,119
233,2020-08-20,3,1,8,61
234,2020-08-21,8,1,12,101
235,2020-08-22,8,0,11,99
236,2020-08-23,8,0,8,73
237,2020-08-24,3,0,4,36
238,2020-08-25,4,0,5,47
239,2020-08-26,5,1,6,52
240,2020-08-27,5,3,11,79
241,2020-08-28,10,1,17,147
242,2020-08-29,8,0,8,74
243,2020-08-30,8,0,8,76
244,2020-08-31,4,0,4,38
245,2020-09-01,6,2,10,80
246,2020-09-02,5,0,8,69
247,2020-09-03,5,1,7,62
248,2020-09-04,9,2,13,109
249,2020-09-05,8,2,11,84
250,2020-09-06,3,1,5,38
251,2020-09-07,10,0,13,114
252,2020-09-08,13,0,13,121
253,2020-09-09,7,0,8,73
254,2020-09-10,1,1,3,19
255,2020-09-11,6,3,9,68
256,2020-09-12,9,0,12,109
257,2020-09-13,5,3,11,83
258,2020-09-14,8,0,10,90
259,2020-09-15,2,1,6,43
260,2020-09-16,14,2,17,149
261,2020-09-17,4,1,6,49
262,2020-09-18,7,1,11,97
263,2020-09-19,5,1,9,74
264,2020-09-20,5,0,7,62
265,2020-09-21,6,0,8,74
266,2020-09-22,10,0,11,102
267,2020-09-23,9,0,11,99
268,2020-09-24,6,1,7,59
269,2020-09-25,14,0,16,148
270,2020-09-26,4,1,8,67
271,2020-09-27,5,1,6,50
272,2020-09-28,6,2,8,66
273,2020-09-29,9,0,9,86
274,2020-09-30,7,0,9,81
275,2020-10-01,3,2,7,55
276,2020-10-02,6,0,10,85
277,2020-10-03,5,4,9,69
278,2020-10-04,6,0,9,78
279,2020-10-05,12,1,15,130
280,2020-10-06,7,1,9,77
281,2020-10-07,6,1,8,63
282,2020-10-08,6,0,6,57
283,2020-10-09,7,0,8,73
284,2020-10-10,9,2,14,114
285,2020-10-11,6,0,8,72
286,2020-10-12,10,2,14,124
287,2020-10-13,10,0,12,108
288,2020-10-14,6,1,8,69
289,2020-10-15,5,2,9,66
290,2020-10-16,4,1,7,57
291,2020-10-17,9,0,10,91
292,2020-10-18,8,1,13,109
293,2020-10-19,7,1,10,83
294,2020-10-20,7,0,9,80
295,2020-10-21,5,3,10,68
296,2020-10-22,7,0,8,72
297,2020-10-23,2,2,4,22
298,2020-10-24,7,1,8,70
299,2020-10-25,11,1,12,108
300,2020-10-26,1,2,6,36
301,2020-10-27,5,0,6,56
302,2020-10-28,8,0,11,100
303,2020-10-29,4,4,12,78
304,2020-10-30,10,0,10,98
305,2020-10-31,11,0,15,136
306,2020-11-01,6,0,6,57
307,2020-11-02,9,2,11,96
308,2020-11-03,10,1,12,108
309,2020-11-04,8,1,10,87
310,2020-11-05,9,2,14,115
311,2020-11-06,7,2,9,68
312,2020-11-07,7,1,11,96
313,2020-11-08,5,0,6,54
314,2020-11-09,5,1,6,51
315,2020-11-10,6,1,10,80
316,2020-11-11,8,0,11,97
317,2020-11-12,5,0,8,73
318,2020-11-13,5,0,6,55
319,2020-11-14,7,0,7,68
320,2020-11-15,6,1,7,61
321,2020-11-16,10,0,15,131
322,2020-11-17,6,0,8,72
323,2020-11-18,8,0,9,86
324,2020-11-19,1,0,2,16
325,2020-11-20,5,2,8,57
326,2020-11-21,7,0,12,107
327,2020-11-22,3,1,5,40
328,2020-11-23,4,0,5,46
329,2020-11-24,5,1,7,55
330,2020-11-25,5,1,7,57
331,2020-11-26,3,1,6,48
332,2020-11-27,5,0,6,56
333,2020-11-28,4,0,5,46
334,2020-11-29,8,1,13,108
335,2020-11-30,7,2,9,71
336,2020-12-01,9,1,12,103
337,2020-12-02,6,1,7,62
338,2020-12-03,3,2,5,36
339,2020-12-04,5,2,7,51
340,2020-12-05,14,1,16,139
341,2020-12-06,7,0,9,83
342,2020-12-07,2,0,3,27
343,2020-12-08,6,0,7,66
344,2020-12-09,1,1,5,33
345,2020-12-10,5,1,8,67
346,2020-12-11,0,0,5,37
347,2020-12-12,6,2,13,101
348,2020-12-13,9,2,17,134
349,2020-12-14,8,0,10,93
350,2020-12-15,2,1,4,26
351,2020-12-16,8,1,11,92
352,2020-12-17,4,0,6,54
353,2020-12-18,6,1,7,63
354,2020-12-19,8,3,13,106
355,2020-12-20,2,0,4,34
356,2020-12-21,5,1,7,59
357,2020-12-22,5,1,7,58
358,2020-12-23,9,0,11,100
359,2020-12-24,7,1,9,77
360,2020-12-25,9,0,10,92
361,2020-12-26,2,1,3,19
362,2020-12-27,5,0,6,55
363,2020-12-28,6,2,10,83
364,2020-12-29,8,1,12,104
365,2020-12-30,1,2,4,28
366,2020-12-31,6,1,8,69
367,2021-01-01,5,0,5,47
368,2021-01-02,3,1,6,44
369,2021-01-03,2,0,3,28
370,2021-01-04,2,1,8,57
371,2021-01-05,7,0,8,74
372,2021-01-06,7,0,7,64
373,2021-01-07,5,1,7,61
374,2021-01-08,4,0,4,38
375,2021-01-09,6,0,10,85
376,2021-01-10,8,0,11,98
377,2021-01-11,4,0,5,47
378,2021-01-12,7,0,8,73
379,2021-01-13,6,0,8,71
380,2021-01-14,8,0,10,92
381,2021-01-15,4,0,5,46
382,2021-01-16,7,1,9,77
383,2021-01-17,2,0,2,19
384,2021-01-18,4,3,7,42
385,2021-01-19,3,0,4,36
386,2021-01-20,11,0,12,113
387,2021-01-21,11,1,13,116
388,2021-01-22,4,0,7,61
389,2021-01-23,7,1,10,85
390,2021-01-24,5,1,6,54
391,2021-01-25,6,1,9,76
392,2021-01-26,8,1,14,118
393,2021-01-27,3,1,6,49
394,2021-01-28,2,1,4,33
395,2021-01-29,4,0,6,53
396,2021-01-30,7,1,11,95
397,2021-01-31,6,3,9,71
398,2021-02-01,6,0,10,86
399,2021-02-02,13,1,14,125
400,2021-02-03,8,0,10,92
401,2021-02-04,7,1,9,77
402,2021-02-05,8,1,10,87
403,2021-02-06,3,1,6,46
404,2021-02-07,2,2,7,49
405,2021-02-08,6,0,8,72
406,2021-02-09,5,1,6,51
407,2021-02-10,6,0,6,59
408,2021-02-11,2,0,5,40
409,2021-02-12,4,1,5,44
410,2021-02-13,12,1,19,160
411,2021-02-14,8,2,15,118
412,2021-02-15,7,1,10,80
413,2021-02-16,9,0,10,96
414,2021-02-17,2,1,4,32
415,2021-02-18,5,2,8,64
416,2021-02-19,4,2,7,57
417,2021-02-20,7,0,8,75
418,2021-02-21,7,3,10,73
419,2021-02-22,4,3,9,62
420,2021-02-23,4,1,6,49
421,2021-02-24,4,0,6,54
422,2021-02-25,5,0,5,48
423,2021-02-26,1,0,3,24
424,2021-02-27,11,1,12,107
425,2021-02-28,8,1,10,86
426,2021-03-01,5,1,7,58
427,2021-03-02,6,1,7,63
428,2021-03-03,1,1,5,38
429,2021-03-04,5,0,7,63
430,2021-03-05,4,3,8,59
431,2021-03-06,5,1,9,77
432,2021-03-07,7,0,8,75
433,2021-03-08,4,0,6,53
434,2021-03-09,4,4,12,81
435,2021-03-10,9,0,9,84
436,2021-03-11,9,1,10,91
437,2021-03-12,4,2,8,56
438,2021-03-13,7,0,11,98
439,2021-03-14,10,0,14,125
440,2021-03-15,3,0,4,37
441,2021-03-16,6,1,9,71
442,2021-03-17,9,2,14,112
443,2021-03-18,6,1,10,82
444,2021-03-19,5,0,8,70
445,2021-03-20,12,1,15,131
446,2021-03-21,4,0,7,61
447,2021-03-22,3,0,5,43
448,2021-03-23,2,2,5,31
449,2021-03-24,8,2,13,106
450,2021-03-25,8,1,10,83
451,2021-03-26,3,0,4,36
452,2021-03-27,5,1,9,69
453,2021-03-28,5,1,8,66
454,2021-03-29,6,3,11,79
455,2021-03-30,8,0,9,85
456,2021-03-31,8,0,10,90
457,2021-04-01,2,1,7,52
458,2021-04-02,4,1,8,64
459,2021-04-03,2,0,3,25
460,2021-04-04,4,1,5,43
461,2021-04-05,6,0,7,65
462,2021-04-06,4,0,5,44
463,2021-04-07,8,1,10,85
464,2021-04-08,2,0,4,34
465,2021-04-09,2,1,4,28
466,2021-04-10,5,0,6,55
467,2021-04-11,7,0,12,107
468,2021-04-12,10,1,12,105
469,2021-04-13,2,2,5,33
470,2021-04-14,10,0,14,122
471,2021-04-15,7,0,8,73
472,2021-04-16,10,1,14,122
473,2021-04-17,12,0,15,135
474,2021-04-18,2,1,11,86
475,2021-04-19,8,1,9,80
476,2021-04-20,7,1,11,94
477,2021-04-21,9,0,10,93
478,2021-04-22,3,1,6,45
479,2021-04-23,4,0,7,61
480,2021-04-24,11,0,13,119
481,2021-04-25,7,0,7,65
482,2021-04-26,8,1,11,94
483,2021-04-27,11,1,15,127
484,2021-04-28,10,1,12,104
485,2021-04-29,8,0,11,101
486,2021-04-30,11,0,15,133
487,2021-05-01,4,1,8,65
488,2021-05-02,5,4,12,82
489,2021-05-03,7,0,9,81
490,2021-05-04,7,0,10,90
491,2021-05-05,5,1,8,63
492,2021-05-06,9,1,12,102
493,2021-05-07,6,0,8,71
494,2021-05-08,7,1,8,69
495,2021-05-09,7,0,10,90
496,2021-05-10,9,2,11,96
497,2021-05-11,4,1,8,64
498,2021-05-12,6,0,9,77
499,2021-05-13,7,2,9,70
500,2021-05-14,2,1,8,61
501,2021-05-15,9,2,12,99
502,2021-05-16,6,0,9,82
503,2021-05-17,5,1,7,60
504,2021-05-18,4,1,9,75
505,2021-05-19,6,3,10,69
506,2021-05-20,5,3,9,66
507,2021-05-21,5,1,8,65
508,2021-05-22,5,2,10,80
509,2021-05-23,11,0,11,104
510,2021-05-24,6,1,9,76
511,2021-05-25,3,0,6,51
512,2021-05-26,8,0,10,91
513,2021-05-27,4,0,6,54
514,2021-05-28,2,3,6,37
515,2021-05-29,7,1,8,73
516,2021-05-30,3,1,5,40
517,2021-05-31,6,1,8,66
518,2021-06-01,7,0,9,84
519,2021-06-02,5,0,5,47
520,2021-06-03,5,0,7,61
521,2021-06-04,9,4,14,109
522,2021-06-05,3,1,6,45
523,2021-06-06,8,0,10,89
524,2021-06-07,6,3,13,101
525,2021-06-08,1,0,2,18
526,2021-06-09,9,0,9,84
527,2021-06-10,5,0,6,57
528,2021-06-11,5,2,8,61
529,2021-06-12,10,0,12,109
530,2021-06-13,4,1,6,46
531,2021-06-14,3,1,5,41
532,2021-06-15,8,1,11,97
533,2021-06-16,3,1,6,44
534,2021-06-17,3,0,4,36
535,2021-06-18,5,1,6,55
536,2021-06-19,8,2,10,82
537,2021-06-20,5,2,9,72
538,2021-06-21,5,2,8,59
539,2021-06-22,4,0,4,38
540,2021-06-23,4,2,11,82
541,2021-06-24,10,0,12,108
542,2021-06-25,5,0,6,55
543,2021-06-26,7,1,11,94
544,2021-06-27,8,1,14,118
545,2021-06-28,8,0,10,93
546,2021-06-29,1,1,3,19
547,2021-06-30,9,3,14,110
548,2021-07-01,6,0,7,64
549,2021-07-02,5,0,6,54
550,2021-07-03,2,1,4,28
551,2021-07-04,6,0,6,59
552,2021-07-05,8,0,11,97
553,2021-07-06,7,1,9,79
554,2021-07-07,4,2,8,63
555,2021-07-08,5,0,6,55
556,2021-07-09,7,3,13,102
557,2021-07-10,6,1,8,70
558,2021-07-11,6,0,6,56
559,2021-07-12,11,1,12,106
560,2021-07-13,6,0,7,64
561,2021-07-14,7,3,13,106
562,2021-07-15,14,0,14,130
563,2021-07-16,11,1,16,141
564,2021-07-17,3,0,5,45
565,2021-07-18,6,0,8,72
566,2021-07-19,7,1,9,78
567,2021-07-20,5,1,7,58
568,2021-07-21,7,1,11,94
569,2021-07-22,5,1,8,62
570,2021-07-23,6,1,7,59
571,2021-07-24,8,1,10,84
572,2021-07-25,11,0,11,107
573,2021-07-26,5,2,9,66
574,2021-07-27,5,2,9,67
575,2021-07-28,9,3,13,105
576,2021-07-29,5,2,9,68
577,2021-07-30,3,0,4,37
578,2021-07-31,4,2,8,61
579,2021-08-01,4,1,7,54
580,2021-08-02,7,0,9,82
581,2021-08-03,9,0,10,93
582,2021-08-04,12,0,14,130
583,2021-08-05,3,1,5,39
584,2021-08-06,10,1,13,116
585,2021-08-07,6,1,8,68
586,2021-08-08,10,2,13,106
587,2021-08-09,10,1,12,102
588,2021-08-10,6,1,8,69
589,2021-08-11,7,1,10,84
590,2021-08-12,6,2,10,73
591,2021-08-13,7,1,11,88
592,2021-08-14,2,3,7,42
593,2021-08-15,7,0,11,99
594,2021-08-16,3,0,5,43
595,2021-08-17,12,2,15,130
596,2021-08-18,7,1,13,106
597,2021-08-19,8,1,11,97
598,2021-08-20,5,2,7,57
599,2021-08-21,3,3,9,63
600,2021-08-22,8,0,10,90
601,2021-08-23,7,1,9,81
602,2021-08-24,5,0,6,55
603,2021-08-25,11,0,12,111
604,2021-08-26,3,1,7,53
605,2021-08-27,6,1,8,71
606,2021-08-28,5,1,7,60
607,2021-08-29,5,2,10,74
608,2021-08-30,0,1,3,20
609,2021-08-31,6,0,7,65
610,2021-09-01,5,0,6,56
611,2021-09-02,6,2,9,69
612,2021-09-03,8,0,11,101
613,2021-09-04,8,0,9,87
614,2021-09-05,3,1,7,57
615,2021-09-06,6,0,7,65
616,2021-09-07,3,0,5,42
617,2021-09-08,5,0,5,48
618,2021-09-09,5,1,8,72
619,2021-09-10,8,2,12,97
620,2021-09-11,10,0,10,95
621,2021-09-12,8,0,8,74
622,2021-09-13,2,0,3,27
623,2021-09-14,4,1,8,62
624,2021-09-15,11,2,17,139
625,2021-09-16,5,0,6,57
626,2021-09-17,6,2,11,88
627,2021-09-18,6,0,7,64
628,2021-09-19,9,2,12,101
629,2021-09-20,2,0,3,26
630,2021-09-21,6,0,8,72
631,2021-09-22,7,0,11,96
632,2021-09-23,6,0,6,56
633,2021-09-24,9,1,13,112
634,2021-09-25,7,0,11,94
635,2021-09-26,6,1,9,75
636,2021-09-27,9,0,11,100
637,2021-09-28,10,1,12,106
638,2021-09-29,2,1,6,46
639,2021-09-30,2,2,8,59
640,2021-10-01,4,2,6,43
641,2021-10-02,6,2,9,71
642,2021-10-03,3,1,6,46
643,2021-10-04,6,0,12,104
644,2021-10-05,9,2,11,88
645,2021-10-06,9,1,11,98
646,2021-10-07,4,0,5,44
647,2021-10-08,5,1,8,65
648,2021-10-09,2,1,4,27
649,2021-10-10,8,1,9,79
650,2021-10-11,6,0,7,67
651,2021-10-12,8,2,12,100
652,2021-10-13,6,2,10,80
653,2021-10-14,8,0,8,78
654,2021-10-15,5,0,9,75
655,2021-10-16,6,3,9,67
656,2021-10-17,5,2,8,66
657,2021-10-18,11,0,11,105
658,2021-10-19,8,3,13,104
659,2021-10-20,7,0,9,81
660,2021-10-21,10,1,15,130
661,2021-10-22,6,3,10,75
662,2021-10-23,7,0,8,74
663,2021-10-24,8,1,11,95
664,2021-10-25,13,2,15,128
665,2021-10-26,5,3,10,69
666,2021-10-27,3,0,5,42
667,2021-10-28,7,2,10,83
668,2021-10-29,7,1,12,101
669,2021-10-30,6,1,9,76
670,2021-10-31,5,1,7,63
671,2021-11-01,9,3,16,132
672,2021-11-02,9,0,9,84
673,2021-11-03,4,0,4,39
674,2021-11-04,5,1,8,65
675,2021-11-05,2,1,5,37
676,2021-11-06,3,0,4,35
677,2021-11-07,4,0,5,45
678,2021-11-08,6,1,8,68
679,2021-11-09,10,0,14,123
680,2021-11-10,10,2,12,101
681,2021-11-11,6,0,7,66
682,2021-11-12,6,2,13,102
683,2021-11-13,4,1,5,42
684,2021-11-14,6,0,8,71
685,2021-11-15,7,1,11,94
686,2021-11-16,7,0,10,90
687,2021-11-17,7,0,9,82
688,2021-11-18,5,0,7,63
689,2021-11-19,9,2,13,105
690,2021-11-20,10,1,13,113
691,2021-11-21,2,0,3,28
692,2021-11-22,3,0,6,51
693,2021-11-23,9,1,11,96
694,2021-11-24,6,1,9,71
695,2021-11-25,6,1,7,62
696,2021-11-26,4,1,5,44
697,2021-11-27,8,1,11,92
698,2021-11-28,6,2,9,72
699,2021-11-29,5,0,7,61
700,2021-11-30,9,0,12,107
701,2021-12-01,6,0,8,70
702,2021-12-02,6,0,8,73
703,2021-12-03,8,1,12,99
704,2021-12-04,6,0,9,77
705,2021-12-05,6,1,9,73
706,2021-12-06,6,0,7,65
707,2021-12-07,6,1,9,74
708,2021-12-08,8,1,10,90
709,2021-12-09,3,0,6,52
710,2021-12-10,7,0,9,81
711,2021-12-11,7,0,10,90
712,2021-12-12,10,0,13,116
713,2021-12-13,10,2,12,100
714,2021-12-14,8,1,9,81
715,2021-12-15,12,0,14,129
716,2021-12-16,8,2,15,123
717,2021-12-17,8,0,9,83
718,2021-12-18,4,0,6,54
719,2021-12-19,9,0,9,88
720,2021-12-20,4,0,4,39
721,2021-12-21,3,2,7,50
722,2021-12-22,6,1,7,59
723,2021-12-23,3,1,5,39
724,2021-12-24,7,0,9,82
725,2021-12-25,6,1,7,61
726,2021-12-26,7,0,9,81
727,2021-12-27,8,1,11,96
728,2021-12-28,13,0,15,138
729,2021-12-29,5,2,8,65
730,2021-12-30,7,1,12,98
731,2021-12-31,8,2,12,95
732,2022-01-01,7,2,13,100
733,2022-01-02,6,0,7,64
734,2022-01-03,4,0,6,53
735,2022-01-04,12,2,17,143
736,2022-01-05,2,2,5,36
737,2022-01-06,3,0,5,44
738,2022-01-07,6,2,8,68
739,2022-01-08,8,0,13,114
740,2022-01-09,5,1,7,61
741,2022-01-10,3,0,5,43
742,2022-01-11,4,1,6,48
743,2022-01-12,7,1,8,66
744,2022-01-13,7,2,11,94
745,2022-01-14,5,3,13,99
746,2022-01-15,7,1,10,85
747,2022-01-16,7,1,9,78
748,2022-01-17,8,0,11,96
749,2022-01-18,7,2,11,88
750,2022-01-19,8,2,11,90
751,2022-01-20,4,2,7,53
752,2022-01-21,8,0,10,93
753,2022-01-22,5,0,7,62
754,2022-01-23,5,0,6,54
755,2022-01-24,8,0,12,106
756,2022-01-25,8,2,11,91
757,2022-01-26,8,0,14,119
758,2022-01-27,7,2,11,89
759,2022-01-28,7,2,10,79
760,2022-01-29,2,2,7,51
761,2022-01-30,6,1,9,76
762,2022-01-31,9,1,12,103
763,2022-02-01,3,1,6,43
764,2022-02-02,4,1,7,59
765,2022-02-03,5,1,8,68
766,2022-02-04,5,1,7,61
767,2022-02-05,9,0,11,103
768,2022-02-06,7,3,11,85
769,2022-02-07,12,2,19,154
770,2022-02-08,5,0,7,64
771,2022-02-09,2,2,6,42
772,2022-02-10,7,1,11,95
773,2022-02-11,6,0,6,57
774,2022-02-12,9,1,12,102
775,2022-02-13,6,2,9,68
776,2022-02-14,3,0,5,42
777,2022-02-15,4,1,6,48
778,2022-02-16,6,1,9,77
779,2022-02-17,3,0,6,51
780,2022-02-18,6,2,10,81
781,2022-02-19,6,3,9,70
782,2022-02-20,6,0,8,71
783,2022-02-21,5,2,8,58
784,2022-02-22,11,2,14,118
785,2022-02-23,5,1,11,90
786,2022-02-24,6,2,10,77
787,2022-02-25,5,2,8,66
788,2022-02-26,2,1,5,36
789,2022-02-27,5,3,8,60
790,2022-02-28,2,0,5,42
791,2022-03-01,6,1,10,81
792,2022-03-02,5,0,5,50
793,2022-03-03,7,0,7,67
794,2022-03-04,2,3,6,36
795,2022-03-05,6,0,9,79
796,2022-03-06,10,0,10,94
797,2022-03-07,4,0,4,38
798,2022-03-08,4,2,8,55
799,2022-03-09,6,1,8,69
800,2022-03-10,3,2,7,48
801,2022-03-11,6,1,8,69
802,2022-03-12,6,1,11,92
803,2022-03-13,7,0,8,73
804,2022-03-14,8,1,12,105
805,2022-03-15,4,0,5,45
806,2022-03-16,8,0,9,82
807,2022-03-17,8,1,11,96
808,2022-03-18,5,0,5,49
809,2022-03-19,5,3,11,77
810,2022-03-20,2,0,3,26
811,2022-03-21,10,1,12,105
812,2022-03-22,2,0,3,27
813,2022-03-23,9,2,14,116
814,2022-03-24,10,0,15,133
815,2022-03-25,6,0,8,73
816,2022-03-26,6,4,14,103
817,2022-03-27,8,1,10,83
818,2022-03-28,5,0,5,49
