Finance_ID,Date,Total_Assets,Total_Liabilities,Total_Equity,Revenue,Expenses,Net_Profit,Report_Date,Currency,Created_At
78,2020-03-18,93832397.18,61544262.5,32288134.68,212698.39,140326.5,72371.89,2020-03-18,EUR,2025-05-25 21:55:48.202198
79,2020-03-19,95007940.63,71373966.26,23633974.37,195067.84,142727.2,52340.64,2020-03-19,EUR,2025-05-25 21:55:48.202198
80,2020-03-20,96209263.3,63462205.27,32747058.03,183956.7,133319.74,50636.96,2020-03-20,EUR,2025-05-25 21:55:48.202198
81,2020-03-21,97389861.84,68023142.83,29366719.01,202844.15,141518.09,61326.07,2020-03-21,EUR,2025-05-25 21:55:48.202198
82,2020-03-22,98605012.9,76191176.19,22413836.7,187550.0,138631.85,48918.14,2020-03-22,EUR,2025-05-25 21:55:48.202198
83,2020-03-23,99810745.56,72629079.91,27181665.65,163329.41,141551.2,21778.22,2020-03-23,EUR,2025-05-25 21:55:48.202198
84,2020-03-24,100995220.05,77730914.21,23264305.84,172186.78,160267.19,11919.59,2020-03-24,EUR,2025-05-25 21:55:48.202198
85,2020-03-25,102204712.41,71074370.25,31130342.16,195265.33,129677.48,65587.85,2020-03-25,EUR,2025-05-25 21:55:48.202198
86,2020-03-26,103386656.97,67685230.52,35701426.45,190562.9,143749.9,46813.0,2020-03-26,EUR,2025-05-25 21:55:48.202198
87,2020-03-27,104586922.45,75580721.55,29006200.91,188053.95,146757.36,41296.6,2020-03-27,EUR,2025-05-25 21:55:48.202198
88,2020-03-28,105748956.61,80725900.57,25023056.03,172309.56,136093.22,36216.34,2020-03-28,EUR,2025-05-25 21:55:48.202198
89,2020-03-29,106945033.59,76246553.89,30698479.71,173491.32,146096.59,27394.73,2020-03-29,EUR,2025-05-25 21:55:48.202198
90,2020-03-30,108155639.44,77969590.18,30186049.26,175685.95,134036.71,41649.23,2020-03-30,EUR,2025-05-25 21:55:48.202198
91,2020-03-31,109346493.92,78428248.7,30918245.22,166204.29,122956.39,43247.9,2020-03-31,EUR,2025-05-25 21:55:48.202198
92,2020-04-01,110546024.14,85360023.5,25186000.64,176380.59,147032.34,29348.25,2020-04-01,EUR,2025-05-25 21:55:48.202198
93,2020-04-02,111715035.02,79763811.23,31951223.79,163177.86,159677.09,3500.77,2020-04-02,EUR,2025-05-25 21:55:48.202198
94,2020-04-03,112901211.93,82519215.09,30381996.84,163137.37,142634.27,20503.1,2020-04-03,EUR,2025-05-25 21:55:48.202198
95,2020-04-04,114087959.34,85077237.38,29010721.97,178605.33,109165.99,69439.34,2020-04-04,EUR,2025-05-25 21:55:48.202198
96,2020-04-05,115302486.52,75390970.36,39911516.16,175806.69,148080.8,27725.89,2020-04-05,EUR,2025-05-25 21:55:48.202198
97,2020-04-06,116502044.61,81123604.23,35378440.38,189008.71,148201.25,40807.46,2020-04-06,EUR,2025-05-25 21:55:48.202198
98,2020-04-07,117701234.56,90552941.78,27148292.78,200733.41,164087.33,36646.07,2020-04-07,EUR,2025-05-25 21:55:48.202198
99,2020-04-08,118911103.88,81313924.87,37597179.01,154434.84,121587.6,32847.24,2020-04-08,EUR,2025-05-25 21:55:48.202198
100,2020-04-09,120095654.3,79475423.36,40620230.94,161210.17,158211.73,2998.44,2020-04-09,EUR,2025-05-25 21:55:48.202198
101,2020-04-10,121294421.82,93651291.27,27643130.55,191439.9,148339.63,43100.27,2020-04-10,EUR,2025-05-25 21:55:48.202198
102,2020-04-11,122488505.0,84077639.95,38410865.05,189229.25,147885.78,41343.47,2020-04-11,EUR,2025-05-25 21:55:48.202198
103,2020-04-12,123681061.84,90442828.44,33238233.4,195503.77,123383.53,72120.24,2020-04-12,EUR,2025-05-25 21:55:48.202198
104,2020-04-13,124863293.39,87968573.02,36894720.37,187094.53,152598.19,34496.34,2020-04-13,EUR,2025-05-25 21:55:48.202198
105,2020-04-14,126053159.01,87210886.25,38842272.76,186330.56,145963.37,40367.2,2020-04-14,EUR,2025-05-25 21:55:48.202198
106,2020-04-15,127235217.43,98400809.18,28834408.26,170902.16,149706.03,21196.12,2020-04-15,EUR,2025-05-25 21:55:48.202198
107,2020-04-16,128413195.47,97773376.89,30639818.58,165874.63,149069.84,16804.79,2020-04-16,EUR,2025-05-25 21:55:48.202198
108,2020-04-17,129597278.1,99390001.2,30207276.9,191861.12,133270.38,58590.74,2020-04-17,EUR,2025-05-25 21:55:48.202198
109,2020-04-18,130809156.14,96068357.49,34740798.65,157637.96,160769.85,-3131.89,2020-04-18,EUR,2025-05-25 21:55:48.202198
110,2020-04-19,131987383.98,97332448.29,34654935.69,157302.38,145241.38,12061.0,2020-04-19,EUR,2025-05-25 21:55:48.202198
111,2020-04-20,133169902.76,94412592.9,38757309.87,132722.05,123536.59,9185.45,2020-04-20,EUR,2025-05-25 21:55:48.202198
112,2020-04-21,134350962.27,91604903.34,42746058.93,186180.22,133917.83,52262.39,2020-04-21,EUR,2025-05-25 21:55:48.202198
113,2020-04-22,135557353.64,92333885.09,43223468.55,185114.41,111122.73,73991.68,2020-04-22,EUR,2025-05-25 21:55:48.202198
114,2020-04-23,136763716.37,92852734.59,43910981.79,182501.35,144865.6,37635.75,2020-04-23,EUR,2025-05-25 21:55:48.202198
115,2020-04-24,137959753.52,95276780.26,42682973.27,181374.22,127042.92,54331.29,2020-04-24,EUR,2025-05-25 21:55:48.202198
116,2020-04-25,139170285.73,94554651.62,44615634.11,183170.82,115455.7,67715.11,2020-04-25,EUR,2025-05-25 21:55:48.202198
117,2020-04-26,140364303.06,93560057.53,46804245.53,165517.02,148075.74,17441.28,2020-04-26,EUR,2025-05-25 21:55:48.202198
118,2020-04-27,141582145.19,110245296.79,31336848.41,182462.91,145096.68,37366.23,2020-04-27,EUR,2025-05-25 21:55:48.202198
119,2020-04-28,142767913.03,98040446.11,44727466.92,170746.37,134174.21,36572.16,2020-04-28,EUR,2025-05-25 21:55:48.202198
120,2020-04-29,143971920.16,110656137.81,33315782.35,193904.87,130104.76,63800.11,2020-04-29,EUR,2025-05-25 21:55:48.202198
121,2020-04-30,145147326.85,102963167.4,42184159.46,171795.95,139018.8,32777.15,2020-04-30,EUR,2025-05-25 21:55:48.202198
122,2020-05-01,146343065.21,108661934.56,37681130.65,165947.22,143577.22,22370.0,2020-05-01,EUR,2025-05-25 21:55:48.202198
123,2020-05-02,147533767.68,102770356.04,44763411.64,173718.53,140056.44,33662.09,2020-05-02,EUR,2025-05-25 21:55:48.202198
124,2020-05-03,148681206.39,112807378.84,35873827.55,174325.24,150677.76,23647.48,2020-05-03,EUR,2025-05-25 21:55:48.202198
125,2020-05-04,149877593.0,101838271.67,48039321.33,170631.53,132659.35,37972.18,2020-05-04,EUR,2025-05-25 21:55:48.202198
126,2020-05-05,151086518.79,98882009.0,52204509.79,164047.96,145114.82,18933.14,2020-05-05,EUR,2025-05-25 21:55:48.202198
127,2020-05-06,152280561.45,99848554.92,52432006.54,211504.29,142483.45,69020.83,2020-05-06,EUR,2025-05-25 21:55:48.202198
128,2020-05-07,153471524.53,108949803.32,44521721.21,194391.58,148948.19,45443.39,2020-05-07,EUR,2025-05-25 21:55:48.202198
129,2020-05-08,154648903.99,120592865.94,34056038.05,207825.19,155430.32,52394.87,2020-05-08,EUR,2025-05-25 21:55:48.202198
130,2020-05-09,155857954.82,113588137.98,42269816.83,159809.64,140378.24,19431.41,2020-05-09,EUR,2025-05-25 21:55:48.202198
131,2020-05-10,157082209.74,110605862.33,46476347.41,202991.73,153004.74,49986.98,2020-05-10,EUR,2025-05-25 21:55:48.202198
132,2020-05-11,158273577.39,113106729.2,45166848.19,189962.43,148219.88,41742.55,2020-05-11,EUR,2025-05-25 21:55:48.202198
133,2020-05-12,159490459.2,105458387.91,54032071.29,179680.38,149638.97,30041.41,2020-05-12,EUR,2025-05-25 21:55:48.202198
134,2020-05-13,160694712.62,110357393.78,50337318.84,174549.07,140768.44,33780.63,2020-05-13,EUR,2025-05-25 21:55:48.202198
135,2020-05-14,161871467.61,125708660.13,36162807.47,165821.36,146149.15,19672.21,2020-05-14,EUR,2025-05-25 21:55:48.202198
136,2020-05-15,163064062.76,123571974.78,39492087.98,154561.87,130875.84,23686.03,2020-05-15,EUR,2025-05-25 21:55:48.202198
137,2020-05-16,164225130.9,109574313.11,54650817.79,185703.05,155775.68,29927.37,2020-05-16,EUR,2025-05-25 21:55:48.202198
138,2020-05-17,165428191.12,119697461.98,45730729.13,179420.57,134766.14,44654.43,2020-05-17,EUR,2025-05-25 21:55:48.202198
139,2020-05-18,166626564.05,126921063.21,39705500.84,159209.43,145865.68,13343.75,2020-05-18,EUR,2025-05-25 21:55:48.202198
140,2020-05-19,167790350.5,115350400.2,52439950.3,195717.61,141917.54,53800.07,2020-05-19,EUR,2025-05-25 21:55:48.202198
141,2020-05-20,168978637.48,110632161.06,58346476.42,184633.58,131933.97,52699.62,2020-05-20,EUR,2025-05-25 21:55:48.202198
142,2020-05-21,170173901.27,119885032.7,50288868.57,180024.11,146000.37,34023.74,2020-05-21,EUR,2025-05-25 21:55:48.202198
143,2020-05-22,171378922.89,116072910.37,55306012.52,182304.44,163120.58,19183.85,2020-05-22,EUR,2025-05-25 21:55:48.202198
144,2020-05-23,172590272.37,114614345.11,57975927.25,172553.64,144483.51,28070.14,2020-05-23,EUR,2025-05-25 21:55:48.202198
145,2020-05-24,173787100.42,124645744.35,49141356.07,193110.86,126831.14,66279.72,2020-05-24,EUR,2025-05-25 21:55:48.202198
146,2020-05-25,175008891.38,124756033.36,50252858.02,176280.92,138530.4,37750.52,2020-05-25,EUR,2025-05-25 21:55:48.202198
147,2020-05-26,176234959.59,134698347.19,41536612.4,191255.69,137966.42,53289.26,2020-05-26,EUR,2025-05-25 21:55:48.202198
148,2020-05-27,177356213.6,130910590.71,46445622.9,179924.5,149311.32,30613.18,2020-05-27,EUR,2025-05-25 21:55:48.202198
149,2020-05-28,178538540.44,122696309.52,55842230.91,201172.79,124601.83,76570.96,2020-05-28,EUR,2025-05-25 21:55:48.202198
150,2020-05-29,179753150.14,118951937.22,60801212.92,146553.41,144630.78,1922.63,2020-05-29,EUR,2025-05-25 21:55:48.202198
151,2020-05-30,180944436.65,133833545.09,47110891.56,187044.48,126977.94,60066.55,2020-05-30,EUR,2025-05-25 21:55:48.202198
152,2020-05-31,182132071.46,140208584.0,41923487.46,165764.77,143617.83,22146.94,2020-05-31,EUR,2025-05-25 21:55:48.202198
153,2020-06-01,183342701.3,123053660.76,60289040.54,172074.69,143394.91,28679.78,2020-06-01,EUR,2025-05-25 21:55:48.202198
154,2020-06-02,184512277.16,124800648.41,59711628.75,171429.23,134431.55,36997.68,2020-06-02,EUR,2025-05-25 21:55:48.202198
155,2020-06-03,185681318.1,143288778.9,42392539.19,186076.78,122943.38,63133.4,2020-06-03,EUR,2025-05-25 21:55:48.202198
156,2020-06-04,186901851.06,134404611.3,52497239.76,148300.27,147190.22,1110.05,2020-06-04,EUR,2025-05-25 21:55:48.202198
157,2020-06-05,188132348.98,132752011.29,55380337.69,173800.2,133400.31,40399.89,2020-06-05,EUR,2025-05-25 21:55:48.202198
158,2020-06-06,189313951.76,141660064.13,47653887.63,158485.96,106235.18,52250.79,2020-06-06,EUR,2025-05-25 21:55:48.202198
159,2020-06-07,190497415.41,128701353.47,61796061.94,177076.61,161108.59,15968.02,2020-06-07,EUR,2025-05-25 21:55:48.202198
160,2020-06-08,191705347.16,132330921.79,59374425.37,182563.13,132542.8,50020.33,2020-06-08,EUR,2025-05-25 21:55:48.202198
161,2020-06-09,192887940.5,128304538.86,64583401.64,182534.5,154449.6,28084.91,2020-06-09,EUR,2025-05-25 21:55:48.202198
162,2020-06-10,194116135.3,133756121.03,60360014.27,170175.69,146026.04,24149.65,2020-06-10,EUR,2025-05-25 21:55:48.202198
163,2020-06-11,195335645.09,141562972.95,53772672.14,183384.36,153784.94,29599.43,2020-06-11,EUR,2025-05-25 21:55:48.202198
164,2020-06-12,196517843.44,136760273.22,59757570.22,168280.56,154704.72,13575.84,2020-06-12,EUR,2025-05-25 21:55:48.202198
165,2020-06-13,197728643.38,131887271.87,65841371.51,166846.65,131379.09,35467.56,2020-06-13,EUR,2025-05-25 21:55:48.202198
166,2020-06-14,198878539.3,133758561.89,65119977.41,181364.48,135158.68,46205.8,2020-06-14,EUR,2025-05-25 21:55:48.202198
167,2020-06-15,200092690.63,149165277.02,50927413.61,206371.88,123086.04,83285.84,2020-06-15,EUR,2025-05-25 21:55:48.202198
168,2020-06-16,201246324.91,141930247.5,59316077.41,164292.02,125495.09,38796.93,2020-06-16,EUR,2025-05-25 21:55:48.202198
169,2020-06-17,202444106.16,135310995.32,67133110.84,185788.71,134272.95,51515.76,2020-06-17,EUR,2025-05-25 21:55:48.202198
170,2020-06-18,203629457.74,156189257.27,47440200.47,191507.32,145575.9,45931.42,2020-06-18,EUR,2025-05-25 21:55:48.202198
171,2020-06-19,204833321.22,158727093.09,46106228.14,183866.01,137805.04,46060.97,2020-06-19,EUR,2025-05-25 21:55:48.202198
172,2020-06-20,206044182.81,145821347.48,60222835.33,186484.04,130196.95,56287.09,2020-06-20,EUR,2025-05-25 21:55:48.202198
173,2020-06-21,207242065.09,160516695.0,46725370.09,208037.69,170504.71,37532.99,2020-06-21,EUR,2025-05-25 21:55:48.202198
174,2020-06-22,208413101.68,161574775.46,46838326.22,196384.29,148825.38,47558.91,2020-06-22,EUR,2025-05-25 21:55:48.202198
175,2020-06-23,209582020.91,149427317.63,60154703.28,199663.3,132120.16,67543.13,2020-06-23,EUR,2025-05-25 21:55:48.202198
176,2020-06-24,210798087.55,163152951.78,47645135.77,175361.29,143436.02,31925.27,2020-06-24,EUR,2025-05-25 21:55:48.202198
177,2020-06-25,212008692.84,158566433.7,53442259.14,191257.14,140442.12,50815.02,2020-06-25,EUR,2025-05-25 21:55:48.202198
178,2020-06-26,213213657.82,162649232.15,50564425.68,194887.61,142927.19,51960.42,2020-06-26,EUR,2025-05-25 21:55:48.202198
179,2020-06-27,214392643.82,140717232.8,73675411.03,158036.3,142555.65,15480.65,2020-06-27,EUR,2025-05-25 21:55:48.202198
180,2020-06-28,215592955.73,163104492.03,52488463.7,162444.64,135182.11,27262.54,2020-06-28,EUR,2025-05-25 21:55:48.202198
181,2020-06-29,216752469.39,146699555.54,70052913.84,184933.0,152462.45,32470.54,2020-06-29,EUR,2025-05-25 21:55:48.202198
182,2020-06-30,217989562.09,151705254.34,66284307.75,162531.81,141563.21,20968.6,2020-06-30,EUR,2025-05-25 21:55:48.202198
183,2020-07-01,219179311.63,160096223.59,59083088.04,166568.38,127485.18,39083.21,2020-07-01,EUR,2025-05-25 21:55:48.202198
184,2020-07-02,220397265.82,155238901.05,65158364.77,187477.39,124124.83,63352.56,2020-07-02,EUR,2025-05-25 21:55:48.202198
185,2020-07-03,221639401.58,168644593.37,52994808.21,199243.23,146879.86,52363.37,2020-07-03,EUR,2025-05-25 21:55:48.202198
186,2020-07-04,222844462.07,150598469.93,72245992.14,175049.42,135605.03,39444.39,2020-07-04,EUR,2025-05-25 21:55:48.202198
187,2020-07-05,224062197.28,163044762.49,61017434.79,198383.12,151926.75,46456.37,2020-07-05,EUR,2025-05-25 21:55:48.202198
188,2020-07-06,225300919.65,161772522.14,63528397.52,206053.78,141873.64,64180.14,2020-07-06,EUR,2025-05-25 21:55:48.202198
189,2020-07-07,226464688.27,152449828.3,74014859.96,162453.29,112281.73,50171.57,2020-07-07,EUR,2025-05-25 21:55:48.202198
190,2020-07-08,227660695.55,156583368.38,71077327.16,176919.2,140487.21,36432.0,2020-07-08,EUR,2025-05-25 21:55:48.202198
191,2020-07-09,228845666.87,156919536.72,71926130.16,173572.18,128682.47,44889.71,2020-07-09,EUR,2025-05-25 21:55:48.202198
192,2020-07-10,230061218.66,174514932.0,55546286.67,189815.46,144151.5,45663.97,2020-07-10,EUR,2025-05-25 21:55:48.202198
193,2020-07-11,231291482.02,174304129.78,56987352.23,153087.11,139063.77,14023.34,2020-07-11,EUR,2025-05-25 21:55:48.202198
194,2020-07-12,232423176.39,169998579.61,62424596.78,179069.31,143298.95,35770.36,2020-07-12,EUR,2025-05-25 21:55:48.202198
195,2020-07-13,233594175.87,161981755.99,71612419.87,155973.16,142156.39,13816.78,2020-07-13,EUR,2025-05-25 21:55:48.202198
196,2020-07-14,234801792.41,180343638.63,54458153.77,172072.25,142507.12,29565.13,2020-07-14,EUR,2025-05-25 21:55:48.202198
197,2020-07-15,235979216.69,163917725.15,72061491.54,206273.64,160341.92,45931.72,2020-07-15,EUR,2025-05-25 21:55:48.202198
198,2020-07-16,237193065.36,180806988.48,56386076.88,188469.61,136716.95,51752.67,2020-07-16,EUR,2025-05-25 21:55:48.202198
199,2020-07-17,238416584.73,162213692.59,76202892.14,163599.69,144881.19,18718.5,2020-07-17,EUR,2025-05-25 21:55:48.202198
200,2020-07-18,239614823.2,185952180.9,53662642.3,154622.73,137451.38,17171.35,2020-07-18,EUR,2025-05-25 21:55:48.202198
201,2020-07-19,240837245.83,158233412.86,82603832.98,174845.23,156527.3,18317.93,2020-07-19,EUR,2025-05-25 21:55:48.202198
