Interaction_ID,Client_ID,Channel,Action_Type,Resolution_Time
381,13753,App,Consulta,122
382,6748,Call Center,Transfer,401
383,5426,App,Transfer,410
384,2090,App,Login,473
385,3210,Call Center,Transfer,443
386,16430,App,Transfer,299
387,5917,Web,Consulta,471
388,4572,Call Center,Login,148
389,17900,App,Transfer,39
390,15871,Call Center,Consulta,446
391,10125,App,Login,377
392,11965,Call Center,Transfer,474
393,12185,Web,Login,357
394,23608,Call Center,Consulta,238
395,18033,App,Transfer,191
396,16320,Web,Consulta,318
397,22791,Web,Consulta,369
398,9472,App,Login,338
399,20365,App,Consulta,98
400,17495,Web,Consulta,452
401,8969,App,Consulta,110
402,19033,Web,Transfer,430
403,22444,Call Center,Consulta,155
404,17053,App,Login,136
405,5300,App,Consulta,323
406,12403,Call Center,Transfer,308
407,14834,Call Center,Login,305
408,12362,Call Center,Consulta,393
409,21219,Call Center,Login,463
410,5994,Web,Transfer,280
411,12517,Web,Consulta,422
412,23564,Web,Login,209
413,23341,Web,Consulta,161
414,11813,Web,Consulta,394
415,9235,Call Center,Consulta,423
416,16619,App,Transfer,391
417,24039,Web,Login,193
418,12120,Web,Consulta,211
419,1859,Web,Login,333
420,23799,App,Consulta,173
421,2754,Call Center,Consulta,424
422,7170,App,Consulta,270
423,17665,Call Center,Login,427
424,6497,Call Center,Consulta,149
425,17764,Web,Consulta,123
426,20889,App,Transfer,395
427,9712,Web,Transfer,437
428,8803,Call Center,Consulta,239
429,12568,Call Center,Transfer,119
430,13217,Call Center,Transfer,171
431,20276,App,Transfer,96
432,2209,Web,Transfer,347
433,18249,Web,Transfer,473
434,3507,Call Center,Consulta,102
435,6432,Call Center,Login,309
436,9706,Web,Consulta,456
437,8513,Web,Consulta,94
438,22159,Call Center,Consulta,48
439,4426,Web,Transfer,222
440,13918,App,Transfer,267
441,17327,App,Transfer,305
442,15801,Call Center,Transfer,141
443,22639,Call Center,Consulta,18
444,16616,Web,Transfer,213
445,15887,Web,Transfer,428
446,23304,App,Consulta,29
447,3423,Web,Consulta,274
448,2643,App,Transfer,335
449,7433,Call Center,Transfer,155
450,2697,Call Center,Transfer,128
451,23068,App,Transfer,357
452,1497,Call Center,Consulta,422
453,20317,App,Consulta,127
454,23100,Web,Transfer,336
455,4904,Call Center,Consulta,130
456,1503,Call Center,Login,251
457,5191,Call Center,Login,247
458,9045,Call Center,Login,191
459,127,Call Center,Consulta,182
460,13656,Call Center,Consulta,118
461,19606,App,Consulta,45
462,7543,Web,Consulta,306
463,6732,Web,Consulta,204
464,18597,Call Center,Transfer,387
465,18352,Call Center,Transfer,175
466,10476,Web,Login,251
467,16710,App,Login,104
468,24675,Web,Consulta,47
469,4666,Web,Transfer,83
470,9706,Web,Transfer,118
471,19619,Web,Transfer,312
472,9073,Call Center,Transfer,326
473,15725,Call Center,Transfer,414
474,15798,Web,Transfer,255
475,18826,Web,Consulta,362
476,3161,Web,Consulta,350
477,11644,Web,Login,21
478,11611,App,Consulta,280
479,5626,Call Center,Login,94
480,14348,App,Consulta,160
481,3723,Web,Consulta,287
482,21733,Call Center,Login,234
483,9038,Call Center,Consulta,425
484,9385,Web,Transfer,373
485,1853,Web,Transfer,162
486,20805,Web,Transfer,242
487,4010,Web,Login,259
488,3659,Call Center,Consulta,150
489,24104,App,Consulta,377
490,24961,App,Login,134
491,14842,App,Login,381
492,8429,App,Consulta,426
493,12107,Call Center,Consulta,419
494,16551,App,Consulta,280
495,15954,Web,Consulta,278
496,4278,Web,Login,250
497,15364,App,Consulta,193
498,4089,Call Center,Transfer,79
499,9679,Web,Consulta,388
500,19372,Call Center,Login,404
501,16370,App,Login,218
502,3963,Call Center,Consulta,367
503,19336,App,Login,95
504,16309,App,Transfer,451
505,5271,Web,Consulta,453
506,10039,App,Consulta,118
507,8766,App,Transfer,184
508,4421,Call Center,Consulta,284
509,8367,App,Consulta,341
510,2242,Web,Consulta,122
511,22173,App,Login,309
512,10138,Call Center,Transfer,422
513,10207,Web,Transfer,127
514,3475,App,Consulta,60
515,11623,App,Consulta,411
516,15631,Call Center,Login,305
517,10502,App,Login,340
518,1065,Call Center,Consulta,259
519,5084,Call Center,Transfer,478
520,4643,Call Center,Transfer,105
521,21258,App,Login,429
522,19810,Call Center,Transfer,42
523,16920,Web,Consulta,38
524,21811,Call Center,Login,389
525,1379,Web,Consulta,103
526,12517,Web,Login,354
527,11834,App,Login,25
528,113,Call Center,Transfer,130
529,3621,App,Consulta,82
530,18903,Web,Login,291
531,2468,Call Center,Consulta,231
532,20892,Call Center,Login,322
533,24093,Call Center,Login,230
534,3439,App,Transfer,392
535,17986,Web,Consulta,311
536,5857,App,Consulta,341
537,11836,App,Consulta,407
538,991,Call Center,Login,146
539,2350,Call Center,Login,383
540,13518,Call Center,Login,156
541,16102,Call Center,Transfer,462
542,2048,Call Center,Consulta,355
543,13429,Call Center,Transfer,186
544,15306,App,Consulta,352
545,6258,Web,Login,54
546,7999,Call Center,Login,346
547,982,Call Center,Login,439
548,20237,Call Center,Consulta,459
549,4544,App,Transfer,179
550,8830,Call Center,Consulta,315
551,10688,Web,Consulta,79
552,17640,Call Center,Login,273
553,13602,App,Consulta,127
554,14092,Web,Transfer,149
555,905,Call Center,Transfer,392
556,11741,Call Center,Transfer,386
557,24481,Web,Transfer,281
558,11349,Call Center,Transfer,248
559,2468,Call Center,Consulta,23
560,24801,Web,Consulta,134
561,21380,Call Center,Login,262
562,19437,App,Login,161
563,6434,Call Center,Login,318
564,12777,App,Consulta,436
565,381,Call Center,Transfer,356
566,17790,Call Center,Transfer,33
567,19222,Web,Consulta,343
568,22405,Call Center,Transfer,463
569,18922,Web,Login,37
570,16724,Call Center,Consulta,358
571,24673,Call Center,Consulta,185
572,22354,Web,Consulta,205
573,15438,Web,Login,153
574,23210,Web,Transfer,390
575,11936,Web,Consulta,21
576,14682,Call Center,Login,152
577,18809,Call Center,Transfer,346
578,6262,Web,Transfer,92
579,21861,Web,Login,424
580,24072,Web,Consulta,49
581,20311,Call Center,Consulta,461
582,15247,Call Center,Login,477
583,9934,Call Center,Login,31
584,13006,App,Transfer,280
585,19138,Call Center,Login,33
586,20318,App,Consulta,221
587,6226,Web,Login,463
588,24348,Web,Transfer,358
589,10448,Web,Consulta,416
590,21927,App,Transfer,162
591,15556,Call Center,Login,56
592,4945,Call Center,Transfer,318
593,5568,App,Login,42
594,16949,App,Consulta,164
595,5946,App,Login,188
596,11779,Call Center,Login,193
597,22834,Web,Transfer,336
598,15166,Call Center,Transfer,22
599,8897,Call Center,Transfer,117
600,11139,Web,Login,78
601,22066,Web,Login,66
602,7532,Call Center,Consulta,45
603,6872,App,Transfer,433
604,18292,Web,Login,24
605,302,Web,Login,407
606,2576,Web,Consulta,359
607,22219,Web,Transfer,45
608,6040,Call Center,Consulta,57
609,15163,App,Consulta,262
610,9865,Web,Consulta,8
611,5967,App,Consulta,308
612,12312,Web,Transfer,249
613,16528,Call Center,Consulta,240
614,18506,App,Login,471
615,17063,App,Transfer,108
616,21126,Call Center,Login,98
617,21873,App,Consulta,143
618,21527,App,Login,465
619,24532,Call Center,Transfer,236
620,22043,App,Transfer,13
621,21269,Call Center,Transfer,161
622,20150,Web,Login,383
623,20655,App,Consulta,154
624,22547,Web,Login,250
625,21901,Web,Transfer,188
626,8443,Web,Transfer,459
627,4977,Web,Consulta,343
628,4983,Call Center,Transfer,371
629,223,Call Center,Login,75
630,5975,Call Center,Transfer,173
631,7060,Call Center,Consulta,8
632,23722,App,Transfer,135
633,3172,Call Center,Consulta,228
634,8264,App,Login,451
635,6656,Web,Transfer,365
636,11657,Web,Consulta,224
637,23572,Call Center,Transfer,446
638,2727,Call Center,Consulta,390
639,12005,Call Center,Consulta,327
640,22351,Call Center,Transfer,402
641,12601,Web,Transfer,305
642,10288,Call Center,Login,95
643,22084,Call Center,Transfer,137
644,7741,App,Consulta,126
645,8600,Call Center,Transfer,280
646,21540,Web,Consulta,176
647,4900,Web,Consulta,376
648,10861,Call Center,Transfer,327
649,14135,Web,Login,185
650,16787,Call Center,Login,82
651,4602,Web,Transfer,391
652,4651,Web,Login,353
653,16241,Web,Login,77
654,14502,Web,Login,226
655,8967,App,Transfer,284
656,14419,Call Center,Consulta,133
657,6579,App,Consulta,448
658,458,Web,Login,288
659,6562,Call Center,Login,253
660,8213,App,Transfer,212
661,19859,Call Center,Login,455
662,747,Call Center,Login,292
663,18884,Web,Consulta,229
664,22301,App,Transfer,282
665,10161,App,Consulta,416
666,6240,App,Transfer,264
667,20943,App,Consulta,446
668,16729,Web,Transfer,415
669,23173,Call Center,Login,325
670,13272,App,Consulta,160
671,7135,App,Transfer,429
672,20133,Call Center,Consulta,193
673,22340,App,Login,290
674,12185,App,Consulta,203
675,6324,Call Center,Transfer,113
676,23940,Web,Consulta,105
677,17624,Call Center,Transfer,244
678,20513,App,Transfer,89
679,4167,App,Login,274
680,15679,Call Center,Transfer,117
681,21387,Web,Login,129
682,6549,Call Center,Transfer,385
683,8865,Call Center,Login,222
684,6572,Call Center,Login,445
685,10761,App,Transfer,358
686,10772,App,Transfer,299
687,7987,Web,Consulta,422
688,738,Web,Consulta,209
689,12257,Web,Transfer,402
690,21337,Call Center,Transfer,378
691,7052,Web,Login,259
692,2857,Web,Transfer,287
693,3984,App,Transfer,385
694,3592,Web,Login,406
695,15392,App,Login,349
696,6328,Call Center,Consulta,383
697,23148,Call Center,Login,55
698,24236,Web,Login,322
699,18349,Web,Consulta,468
700,20807,Web,Login,38
701,15403,Call Center,Transfer,268
702,21336,App,Consulta,456
703,7478,Call Center,Consulta,99
704,4002,Call Center,Transfer,219
705,19233,Call Center,Transfer,368
706,3876,Call Center,Login,178
707,24020,Web,Login,360
708,7859,Web,Transfer,138
709,5747,App,Consulta,334
710,21042,Web,Consulta,263
711,15762,Call Center,Transfer,360
712,23411,Call Center,Transfer,246
713,13502,Call Center,Login,426
714,4984,App,Login,342
715,6078,Call Center,Consulta,205
716,9667,Call Center,Login,460
717,8400,Web,Consulta,255
718,177,App,Transfer,418
719,19197,Call Center,Consulta,325
720,12290,Web,Login,420
721,11847,Web,Login,225
722,1494,Web,Transfer,479
723,14539,Call Center,Consulta,229
724,17425,App,Login,90
725,19349,Call Center,Transfer,345
726,22486,App,Login,103
727,10102,Web,Login,92
728,21973,Web,Login,9
729,12176,Web,Login,243
730,13887,Call Center,Login,384
731,4153,App,Consulta,471
732,18378,Web,Login,26
733,17936,Web,Transfer,367
734,16530,Web,Transfer,469
735,19262,Call Center,Transfer,304
736,22193,Web,Consulta,156
737,24472,Call Center,Transfer,96
738,14162,Call Center,Consulta,161
739,9554,App,Consulta,147
740,15378,Web,Login,63
741,23785,App,Transfer,167
742,17087,Call Center,Login,187
743,10958,Web,Transfer,145
744,14315,Call Center,Transfer,345
745,19207,Call Center,Login,464
746,14189,App,Transfer,347
747,16638,App,Transfer,263
748,8741,App,Transfer,199
749,2182,Call Center,Login,181
750,14016,App,Login,258
751,912,Call Center,Login,412
752,13707,Web,Transfer,37
753,5746,Web,Login,383
754,19316,Web,Login,468
755,4687,Call Center,Consulta,264
756,3094,App,Transfer,201
757,7927,Call Center,Transfer,43
758,15949,Call Center,Consulta,216
759,9649,Web,Login,377
760,24866,App,Login,353
761,23658,Call Center,Transfer,444
762,2070,App,Consulta,282
763,258,Call Center,Transfer,370
764,9979,App,Login,287
765,3983,Web,Consulta,89
766,9294,Call Center,Transfer,300
767,11148,Web,Consulta,421
768,265,Call Center,Consulta,24
769,5596,App,Transfer,421
770,7245,App,Login,454
771,18545,App,Transfer,49
772,17919,Web,Transfer,327
773,20410,Call Center,Consulta,71
774,6206,Call Center,Login,353
775,22590,Call Center,Transfer,23
776,8470,App,Login,264
777,9696,Call Center,Transfer,351
778,2180,Web,Consulta,217
779,15009,Web,Login,458
780,15133,Web,Login,176
781,9451,Call Center,Consulta,463
782,8218,App,Login,76
783,13344,App,Transfer,50
784,14506,Call Center,Transfer,100
785,19248,Web,Consulta,360
786,19409,App,Login,80
787,11743,Web,Consulta,214
788,21179,Web,Transfer,370
789,15743,Web,Consulta,402
790,2464,Web,Login,195
791,8999,Web,Login,360
792,3639,App,Login,270
793,2103,Call Center,Transfer,333
794,11022,Web,Login,382
795,22530,App,Consulta,151
796,9099,Web,Transfer,188
797,23240,App,Consulta,71
798,13075,Web,Transfer,90
799,24910,App,Consulta,393
800,22628,Web,Consulta,81
801,23572,Call Center,Consulta,426
802,1363,Web,Login,17
803,15794,App,Login,85
804,4214,Web,Login,367
805,1226,Call Center,Consulta,431
806,24327,App,Transfer,215
807,13527,Call Center,Consulta,247
808,24660,Call Center,Consulta,190
809,6077,Web,Transfer,69
810,17422,App,Transfer,411
811,23604,Web,Transfer,211
812,18175,Call Center,Login,278
813,9382,Web,Transfer,453
814,13156,Web,Transfer,319
815,16759,Web,Consulta,314
816,2413,App,Transfer,94
817,13725,Call Center,Consulta,462
818,24972,App,Login,190
819,2596,Web,Transfer,192
820,4568,Web,Transfer,105
821,5742,App,Transfer,380
822,22563,App,Login,14
823,22107,Call Center,Consulta,283
824,3053,Web,Consulta,381
825,6224,App,Login,135
826,6489,Web,Login,354
827,8307,Web,Transfer,278
828,4212,Call Center,Consulta,256
829,14763,Web,Consulta,326
830,8275,Call Center,Transfer,215
831,11000,Call Center,Transfer,94
832,24100,Call Center,Transfer,53
833,14581,Web,Consulta,192
834,7492,App,Transfer,447
835,4259,Web,Login,330
836,10489,Call Center,Consulta,230
837,11779,App,Consulta,275
838,13697,App,Consulta,70
839,19549,App,Transfer,9
840,3881,Call Center,Login,479
841,10202,App,Login,432
842,24760,App,Transfer,147
843,5325,Call Center,Login,479
844,7410,Web,Transfer,447
845,2259,Web,Consulta,302
846,6621,App,Transfer,456
847,20400,App,Login,239
848,8168,Call Center,Transfer,101
849,10241,Call Center,Login,219
850,4523,Web,Consulta,118
851,9491,App,Login,139
852,24225,Call Center,Login,185
853,7072,Web,Transfer,139
854,1417,App,Consulta,236
855,16184,App,Transfer,386
856,9488,Web,Consulta,156
857,21856,Web,Transfer,475
858,1105,Call Center,Transfer,240
859,7152,Web,Transfer,448
860,7686,App,Consulta,108
861,20513,Web,Login,69
862,19919,Web,Transfer,438
863,10064,App,Transfer,186
864,15259,Web,Transfer,432
865,8310,App,Transfer,450
866,15828,Call Center,Transfer,83
867,1223,Call Center,Transfer,97
868,15841,Call Center,Transfer,394
869,16051,App,Login,372
870,1728,App,Login,239
871,12954,Web,Login,124
872,20418,Web,Transfer,106
873,24540,Call Center,Consulta,195
874,17675,App,Transfer,328
875,22940,Web,Login,227
876,1495,Web,Consulta,249
877,13185,App,Consulta,408
878,4298,App,Login,388
879,5887,Call Center,Consulta,338
880,13876,App,Login,359
881,12458,App,Transfer,297
882,9675,Web,Login,433
883,6889,Web,Login,462
884,19894,Web,Login,198
885,13956,App,Login,426
886,24200,Web,Login,188
887,24325,App,Consulta,17
888,16387,App,Login,100
889,12559,App,Login,266
890,5667,App,Transfer,367
891,1131,App,Login,153
892,20394,Web,Transfer,226
893,8065,App,Consulta,344
894,750,Call Center,Login,363
895,3892,Call Center,Consulta,161
896,20750,Call Center,Login,90
897,22246,App,Consulta,376
898,10264,App,Consulta,168
899,20612,App,Transfer,428
900,12422,App,Transfer,303
901,17573,App,Transfer,32
902,4664,Call Center,Consulta,29
903,3939,Web,Consulta,337
904,13361,App,Transfer,343
905,5760,Web,Consulta,169
906,20520,Call Center,Login,87
907,14672,Call Center,Transfer,292
908,14101,Call Center,Consulta,450
909,1284,Web,Consulta,127
910,20265,App,Transfer,291
911,2397,Web,Consulta,210
912,1631,Call Center,Consulta,197
913,15169,Call Center,Transfer,356
914,1614,Call Center,Login,473
915,10971,Web,Login,372
916,2717,Call Center,Transfer,41
917,7448,App,Consulta,366
918,23817,Call Center,Transfer,73
919,9239,App,Transfer,169
920,18982,Call Center,Consulta,372
921,17584,Call Center,Consulta,371
922,16831,App,Transfer,355
923,17771,App,Transfer,480
924,21749,App,Login,471
925,1871,Call Center,Login,173
926,810,App,Transfer,69
927,12027,App,Transfer,154
928,14974,Call Center,Consulta,372
929,8402,Call Center,Consulta,20
930,16986,Call Center,Transfer,290
931,8063,App,Consulta,427
932,14256,App,Login,68
933,18812,App,Consulta,12
934,23082,Web,Transfer,323
935,17428,App,Consulta,249
936,24552,Call Center,Transfer,209
937,19249,Web,Consulta,98
938,5392,App,Transfer,111
939,6341,App,Consulta,395
940,18637,Web,Transfer,360
941,14317,Web,Login,123
942,23808,Web,Consulta,451
943,1294,App,Login,265
944,22881,Call Center,Consulta,446
945,15124,Call Center,Transfer,308
946,22753,App,Transfer,210
