Fraud_ID,Client_ID,Transaction_ID,Fraud_Type,Detection_Date,Status,Resolved_Incidents
21,12,2f84097f-7a55-4f0e-b246-b92abf69932e,Identity Theft,2025-05-15,Under Investigation,0
22,12,5d5524b8-4d64-4573-908a-04a4e64df872,Card Fraud,2025-05-17,Under Investigation,0
23,12,0fc86970-1404-49c6-84a4-f06c48e07bd4,Card Fraud,2025-03-22,Under Investigation,0
24,12,f0698f90-a0e9-4979-8bb0-c4ddebceacd4,Card Fraud,2025-02-09,Under Investigation,0
25,12,23beb31a-bfa2-405c-a28e-dc2b25bea891,Card Fraud,2025-03-19,Under Investigation,0
26,12,689556b6-8a9c-4737-90be-757e8fab1423,Card Fraud,2025-01-18,Under Investigation,0
27,12,1685c21a-8588-4a11-b177-8f416b57db10,Money Laundering,2025-05-22,Under Investigation,0
28,13,d11d768d-3ec5-4f78-b01d-421c9e9d8fce,Account Takeover,2025-05-06,Under Investigation,0
29,14,f702a42d-c995-42e8-b2e8-d0e6416e6e10,Card Fraud,2024-04-05,Under Investigation,0
30,14,91f7c8cd-ecb6-401c-994b-4d50d386efab,Account Takeover,2022-09-17,Resolved,1
31,15,5c808a9e-c726-4182-8815-84be165c0843,Money Laundering,2025-02-17,Under Investigation,0
32,15,fd65bb59-7801-4909-ada5-1dd94df348e7,Account Takeover,2025-02-08,Under Investigation,0
33,16,6aae8486-b800-4814-b58a-ece0fad5aa9e,Phishing,2025-03-29,Under Investigation,0
34,16,62188c1f-e388-451a-8bca-a466f0158b7d,Money Laundering,2025-04-09,Resolved,1
35,16,c2d641f8-9b2e-46a9-a58c-4517da428a1b,Money Laundering,2025-04-21,Resolved,1
36,16,381d79d2-6a91-4c8a-976f-dc464ee7d9f7,Card Fraud,2025-02-27,Under Investigation,0
37,17,ce9694cd-fba7-416a-9cbc-682cd7bc25f8,Money Laundering,2025-03-14,Resolved,1
38,17,1bb6a9c8-93dd-4e60-aaba-eb785557a8a6,Phishing,2025-03-06,Resolved,1
39,17,389f77e8-ce8a-45aa-8918-06142c5283d4,Phishing,2025-05-03,Under Investigation,0
40,17,9ff4368a-3329-411d-ae7b-67ba485ec1ac,Identity Theft,2023-04-09,Under Investigation,0
41,19,bd8c2ff8-a3e6-4438-b5cc-d216e0c888ef,Money Laundering,2025-02-02,Under Investigation,0
42,19,783509c9-ef92-4979-af6a-842ffa45eca6,Account Takeover,2023-07-19,Under Investigation,0
43,20,ce4f38e4-2459-4091-8b28-4eda604f13cf,Identity Theft,2025-02-01,Under Investigation,0
44,22,778b1f75-b2a4-4fb4-a672-0681ed2e2e1a,Identity Theft,2025-04-15,Resolved,1
45,23,e65b8078-f4b8-4410-90cc-89bb638c07e8,Account Takeover,2024-11-20,Under Investigation,0
46,23,0e130070-d4d6-4e59-b93d-1f15d87c3fce,Card Fraud,2025-03-20,Under Investigation,0
47,23,f36d6f8c-cb9f-4d11-8ed1-7a807e88672d,Identity Theft,2025-03-28,Under Investigation,0
48,23,d338e26c-4e39-4d3c-bcc5-bf0d3fb475c9,Identity Theft,2025-02-26,Resolved,1
49,25,dfa835f5-d0f1-49e5-bfa6-d5f894d53c4f,Money Laundering,2024-12-10,Resolved,1
50,25,a3cecdd4-839c-4b4c-b778-21e2dffeb483,Phishing,2024-05-15,Under Investigation,0
51,25,30c4f538-3c92-44b5-b2ab-0f8457dc6df0,Phishing,2024-03-13,Under Investigation,0
52,25,5c7ff4d9-6e1c-4316-b58c-a2413c50766a,Money Laundering,2023-07-21,Under Investigation,0
53,27,b62e03b0-acbb-4086-8550-73f3d0bddf30,Identity Theft,2023-07-25,Under Investigation,0
54,28,1a2bf9b1-202b-4c57-b8b4-b358344fe047,Phishing,2025-05-19,Resolved,1
55,29,8a7cdf62-622b-4195-a762-e194c5dd86f9,Money Laundering,2025-02-23,Under Investigation,0
56,29,ba6146a9-a8c0-4aa4-979f-d9479691e82e,Phishing,2025-05-03,Under Investigation,0
57,29,46b265d1-e9b5-4a5e-92f3-d57bfff9c8b6,Identity Theft,2025-05-19,Under Investigation,0
58,30,e8b87cd0-44b7-49e8-a7b7-ec471b7c979b,Money Laundering,2024-12-16,Under Investigation,0
59,31,0b68dfcc-346a-494a-a64b-7d9b748e16f4,Phishing,2024-04-01,Under Investigation,0
60,31,5082f3b2-ae02-47f7-b9a4-a022666c0236,Phishing,2024-07-29,Under Investigation,0
61,34,4bc185ff-9255-40a3-9193-10b67fe65b5c,Money Laundering,2025-02-25,Resolved,1
62,34,8280d646-a956-4ea9-b277-452b9dd7df3f,Phishing,2025-05-04,Under Investigation,0
63,34,60ac6286-6593-433d-8dd3-79bb3c7819a3,Card Fraud,2025-04-24,Resolved,1
64,34,e1af1fc6-9b2d-47dd-bd6a-461d9bffc471,Card Fraud,2025-03-19,Resolved,1
65,37,039c653e-13c9-4fe0-8484-48c430e576b2,Money Laundering,2024-03-23,Under Investigation,0
66,38,5b36ef83-404b-489f-934d-7cf24e849553,Card Fraud,2024-02-04,Resolved,1
67,38,b08ada0f-86c7-4714-854a-f3ef5bb1dc37,Card Fraud,2024-12-04,Under Investigation,0
68,39,db5373b4-d627-4aa5-96f5-f25a2d8b3135,Account Takeover,2025-03-25,Under Investigation,0
69,39,16b661bd-76de-4180-b081-c1ccf7763b7d,Account Takeover,2025-04-27,Under Investigation,0
70,43,097faffc-53f3-4934-b372-c3772400c44d,Identity Theft,2025-04-16,Under Investigation,0
71,43,079e6a94-457e-49e3-8dc0-8b19e141dd5b,Card Fraud,2025-03-27,Under Investigation,0
72,46,dbd32407-40f7-43e5-ad14-7064f3844db3,Account Takeover,2024-04-08,Resolved,1
73,47,08c31d94-3631-456e-8455-2a81f45bc6bc,Account Takeover,2025-01-27,Under Investigation,0
74,48,28c66343-7336-4a9f-9ce6-579199a5690b,Card Fraud,2025-03-30,Under Investigation,0
75,49,f108dbc7-92e2-4d65-9d0e-c8b5904983d9,Card Fraud,2024-05-10,Under Investigation,0
76,50,7ebd3ee2-589f-4ddd-a854-d9ed63eba601,Phishing,2025-02-26,Under Investigation,0
77,51,17eb4259-7dbb-4c76-94cd-9494a8405c68,Phishing,2023-05-12,Resolved,1
78,53,722e52b1-9e73-433c-a0bf-390cac5b158b,Phishing,2025-05-25,Under Investigation,0
79,53,c72b9326-b95e-4947-bf39-f3e27f043eb8,Money Laundering,2021-07-12,Under Investigation,0
80,54,e517ada1-ca3f-45d0-a035-a6c7c194d073,Account Takeover,2023-12-18,Under Investigation,0
81,55,5a07175b-3452-43d2-ba41-3e1a83311942,Card Fraud,2024-01-20,Resolved,1
82,56,714ed7a7-7d88-4182-80ce-6199213db6ae,Identity Theft,2025-04-24,Under Investigation,0
83,56,68f3efb7-39c9-484c-bfa9-1fc3f6a0aa55,Money Laundering,2025-04-25,Resolved,1
84,56,2cbfd6b9-11e5-401b-ad55-fb108e51b248,Money Laundering,2025-05-22,Under Investigation,0
85,56,3cd35fed-1318-4173-b780-b69dc165538d,Account Takeover,2025-04-13,Under Investigation,0
86,59,c672abf3-1f69-445c-9b56-7c6999ac79f7,Phishing,2023-12-02,Under Investigation,0
87,59,4a4b935c-e81f-4071-a8cf-1d7c8e0cee49,Money Laundering,2025-02-22,Resolved,1
88,59,8bf89fbe-76e8-4dbb-8e23-b1b4d34ffca7,Card Fraud,2024-06-08,Resolved,1
89,60,f6530bcd-c27e-4e8b-80f7-b84af4c8e071,Money Laundering,2023-10-28,Under Investigation,0
90,62,1bb62fc0-d0b0-43a9-9d3b-9d6ccd908e65,Identity Theft,2024-03-07,Resolved,1
91,62,cd5e8934-63e6-441b-b27c-56c46a689d2c,Money Laundering,2024-09-05,Under Investigation,0
92,64,70d87974-f881-4645-943e-33451e81bda1,Card Fraud,2023-12-13,Resolved,1
93,66,461bd555-540d-42fe-89df-e527d25537c8,Money Laundering,2025-04-24,Under Investigation,0
94,68,65c07c56-8a76-4f21-b53f-8ee01368e9d2,Phishing,2024-01-18,Resolved,1
95,69,9df2f6f3-819b-49e4-ab2f-261713020e23,Identity Theft,2024-12-06,Under Investigation,0
96,70,6b2705c8-9ef7-46a1-a673-4ba83252fc51,Identity Theft,2025-02-21,Under Investigation,0
97,71,f7b5eead-5244-409e-94f5-e4c6497bfd5b,Account Takeover,2024-11-27,Under Investigation,0
98,71,167ceea3-104f-4d04-b53a-716d0637254f,Phishing,2025-03-31,Resolved,1
99,71,5d3f725d-a19b-4303-a5d0-1e2c7d1ed295,Account Takeover,2025-03-20,Resolved,1
100,72,bfdd0df3-0e95-406b-82e6-fb1453a365e4,Money Laundering,2022-05-30,Resolved,1
101,72,25cfc7c1-e861-4be3-9651-bd001c23e8ac,Identity Theft,2025-01-06,Under Investigation,0
102,74,9417ac55-d5c2-4556-85c4-eb4ebec33aa7,Money Laundering,2025-03-29,Under Investigation,0
103,76,d015cabd-5783-4fe7-bf0d-fabd0f22fad7,Phishing,2025-05-14,Under Investigation,0
104,77,331dd59d-ebe8-4423-89a5-95a56beba030,Phishing,2025-04-13,Under Investigation,0
105,78,aff16485-663d-4597-a7eb-e069012293bc,Account Takeover,2025-02-27,Under Investigation,0
106,78,b16da99a-30b2-464e-981a-c3ead55e8727,Identity Theft,2025-04-23,Resolved,1
107,78,d2e79af1-04e3-4132-8399-f4b83e524fd4,Account Takeover,2024-12-27,Under Investigation,0
108,80,2dafc74b-a14a-461f-85d4-ec40013235a3,Identity Theft,2024-02-26,Under Investigation,0
109,80,d91bee7c-e5bb-4c38-8000-4556cdc5f144,Card Fraud,2023-04-30,Under Investigation,0
110,81,af188787-78df-489e-99ba-2f7477c6b980,Account Takeover,2025-03-29,Resolved,1
111,81,3ee19603-17a7-4142-82f4-3ae5ecc575bf,Identity Theft,2025-01-07,Resolved,1
112,81,ccd9c563-88b4-4ab3-8165-c54a1e94365e,Phishing,2024-07-16,Under Investigation,0
113,82,5531e671-147e-452c-b56d-3712e8e0ab50,Card Fraud,2025-04-23,Resolved,1
114,84,4f3b2950-f4cd-46bc-b427-f9a083823385,Account Takeover,2024-01-16,Under Investigation,0
115,85,db578b57-e90f-49ef-a10e-505fd2fc0d1a,Card Fraud,2024-07-04,Under Investigation,0
116,85,9efe502b-e87e-48ed-800b-5da0f2ac27a9,Identity Theft,2024-09-02,Under Investigation,0
117,85,4ab8a06a-7713-46f7-b691-ebce9f836a37,Money Laundering,2025-04-04,Under Investigation,0
118,87,1a51828b-a901-4d92-bf7b-1dbed6f67fad,Money Laundering,2023-12-01,Resolved,1
119,87,102141b1-cc65-4c5f-b631-69f3a1b36895,Account Takeover,2024-08-09,Resolved,1
120,88,bc995d67-5154-4ef5-b206-70fea9cfab28,Account Takeover,2025-05-23,Under Investigation,0
121,88,71b23e12-802a-463a-b45b-daf478cb2d18,Identity Theft,2024-12-31,Resolved,1
122,89,447c32b5-448c-4097-8bb0-a74fc57c7802,Account Takeover,2025-05-20,Under Investigation,0
123,89,ebcf4f9e-1ab6-4699-b8c8-15855b29b84a,Identity Theft,2025-02-24,Under Investigation,0
124,90,02eef21c-0927-48a6-b70e-175be9ebf2dd,Identity Theft,2024-10-02,Under Investigation,0
125,90,345c6ea5-8d1c-4165-9d66-1f47138f907b,Phishing,2024-12-12,Under Investigation,0
126,91,856c814f-da58-4663-be57-1c745bbec49c,Phishing,2024-08-18,Resolved,1
127,91,53477cd4-0b62-49ae-bdde-37a22537711a,Money Laundering,2024-01-11,Under Investigation,0
128,91,4543ec4b-a220-4f52-b8b2-63960ba25cea,Identity Theft,2025-01-21,Under Investigation,0
129,93,ea565a10-9bd3-4727-a813-7492d683d14a,Account Takeover,2025-01-04,Under Investigation,0
130,93,922bec9d-c9e7-4d48-bcb6-06809c90ac39,Identity Theft,2024-04-08,Under Investigation,0
131,93,598e49bb-37ea-4b2b-a09d-843d39d174bb,Account Takeover,2024-07-01,Under Investigation,0
132,94,5808b8fd-52af-4443-af1f-fea75d93cb37,Identity Theft,2024-03-15,Under Investigation,0
133,94,3f0b6fb2-9479-4f97-8fac-7460e78d74db,Card Fraud,2023-08-26,Under Investigation,0
134,96,2be6c306-d8c4-42d9-a27a-935b9a6d81fd,Card Fraud,2025-02-15,Under Investigation,0
135,96,176129e0-da00-4dad-855c-6b4085ac1c97,Account Takeover,2025-04-26,Under Investigation,0
136,98,79c3933d-684a-41c4-994c-f24de64b8d78,Account Takeover,2021-12-08,Under Investigation,0
137,99,7311c8c3-f357-478a-9ef5-34ade751b519,Money Laundering,2024-07-23,Under Investigation,0
138,99,a225862f-e0be-4cef-86ad-e139184738d4,Phishing,2025-01-21,Resolved,1
139,101,8865787b-a907-4420-b59b-f5993c532cb6,Identity Theft,2025-04-11,Resolved,1
140,102,29acdaba-e1f2-47b3-8dc9-3046e92ff0b6,Card Fraud,2024-01-12,Under Investigation,0
141,102,a9e78b08-8205-451b-9a39-643813cc702b,Money Laundering,2024-07-21,Under Investigation,0
142,104,67bb3d6f-5fc4-4d15-932f-42364cc9ac9f,Card Fraud,2024-10-14,Under Investigation,0
143,104,55a7ef33-438b-4c33-ac91-aef26f549840,Phishing,2024-08-02,Resolved,1
144,104,26a5a709-205a-4dfa-902e-04494cd65a5a,Card Fraud,2024-02-11,Under Investigation,0
145,104,051a42aa-dd52-4a85-82f3-bb8ff9aece8c,Identity Theft,2025-04-10,Resolved,1
146,104,0b805113-ac2e-4502-83b8-f90996e75cea,Identity Theft,2024-10-26,Under Investigation,0
147,104,5f71de05-4db7-4151-aea3-384b8b91a05e,Card Fraud,2025-05-22,Under Investigation,0
148,104,7c2edd9e-7b82-46e9-a907-20d736103c83,Identity Theft,2025-01-28,Under Investigation,0
149,106,f676c9ff-b67a-4cc8-b761-df1fa05c04f1,Money Laundering,2024-04-18,Resolved,1
150,106,f6ec2fe6-7219-48a2-a996-f4f54b741ca0,Money Laundering,2023-05-19,Resolved,1
151,106,e98e98ed-6782-4c6e-b201-95bfba5225f8,Identity Theft,2024-09-10,Resolved,1
152,107,eaebce50-9b0d-4b40-9c77-63937b2ad389,Phishing,2025-01-03,Under Investigation,0
153,107,4be8f492-db63-4c2c-a9b1-2d03de8eb3d3,Account Takeover,2025-05-16,Under Investigation,0
154,110,90e1e064-8033-47e5-9512-efd7d6fae5fc,Phishing,2025-03-17,Under Investigation,0
155,110,c08073c7-4379-4032-b3c5-1dbc4ed07c76,Phishing,2022-09-05,Under Investigation,0
156,110,abeb5f4d-bacc-4502-bc16-9274fc20f3ba,Account Takeover,2024-06-25,Under Investigation,0
157,111,b13d6591-7b4a-4acb-8a4a-c4a8b21e4bc2,Card Fraud,2023-03-03,Resolved,1
158,112,936cfd2d-dc96-41b5-95de-2bcebc6bd7df,Card Fraud,2025-01-20,Under Investigation,0
159,112,bfe43a63-acbf-4bec-89ac-7c1c73f3092b,Phishing,2025-02-25,Resolved,1
160,112,3591ebfb-72e1-444f-a0b4-ccd521a6c82a,Phishing,2024-02-14,Under Investigation,0
161,112,351f7904-6289-4408-9114-4df6cd9d97ee,Card Fraud,2023-10-09,Resolved,1
162,112,aab48bcc-55c7-4346-b690-d9854df6b780,Card Fraud,2024-06-01,Resolved,1
163,113,34736a18-8db8-4e68-98c2-c66c602d60a5,Identity Theft,2025-01-03,Resolved,1
164,113,2991da4f-87d7-4107-bedc-7a34f83fbce5,Identity Theft,2025-02-03,Under Investigation,0
165,114,3ac1de31-0b97-40ab-b654-135aea444977,Phishing,2024-03-02,Under Investigation,0
166,114,c9d5cfbd-5bdb-456f-97d3-c7b673e9e65f,Identity Theft,2024-04-09,Under Investigation,0
167,116,e0aa6438-f243-4d93-a456-064b3284a351,Phishing,2025-04-26,Resolved,1
168,119,d4fa46b8-de96-4424-a153-ff98a3b44fe0,Money Laundering,2023-09-19,Under Investigation,0
169,119,8166bfc2-555d-43d4-9f54-24271b7f7fb3,Card Fraud,2024-02-16,Under Investigation,0
170,119,6b5c292e-20b7-4700-a415-41f5347403c7,Card Fraud,2025-01-31,Under Investigation,0
171,120,540262ca-fb54-48a5-95dc-1941f2d08291,Money Laundering,2024-12-28,Resolved,1
172,120,8b9e46ce-68f2-4043-a8dc-56e6dcc5cb93,Phishing,2025-01-31,Under Investigation,0
173,121,75dee451-16d5-479f-a1c3-0d15780387a6,Money Laundering,2023-03-18,Under Investigation,0
174,123,c3369957-1522-4f70-b638-1b04593bf833,Card Fraud,2024-05-08,Resolved,1
175,123,55d6be70-b80c-4ac7-9689-239d56cb3733,Account Takeover,2024-05-30,Under Investigation,0
176,123,ae46dd29-3f78-44b6-9a51-185c63d548e4,Money Laundering,2024-05-11,Resolved,1
177,124,f512bb8f-8ada-4df9-8fc9-cc4926ca16c9,Phishing,2024-10-11,Under Investigation,0
178,124,5a0cfca2-7aa5-4ea0-a0d9-44b1a89b3134,Account Takeover,2025-05-15,Under Investigation,0
179,124,4086e659-5d09-4191-adbb-4a4687a45e08,Account Takeover,2025-05-14,Resolved,1
180,125,4a9e832e-276a-49b0-a8ad-0bd9cf7faed4,Card Fraud,2024-11-19,Resolved,1
181,125,5b591a45-0162-4008-9c8e-a24bbca5c47e,Account Takeover,2025-01-31,Resolved,1
182,126,f94bbe3a-f4fd-4687-a9cd-0a744feb766f,Phishing,2024-05-31,Under Investigation,0
183,126,c4b9ccba-b057-42dd-86fc-e17e05366dde,Identity Theft,2023-11-24,Under Investigation,0
184,126,38b74721-b903-453b-83d7-4224757e173d,Phishing,2024-10-03,Under Investigation,0
185,127,9f768451-9d5d-4526-a7dd-6e7149cd468c,Phishing,2023-02-07,Under Investigation,0
186,128,220cf1e8-7f05-482a-b2f7-d9197efba752,Identity Theft,2024-12-21,Resolved,1
187,128,f4753396-b210-4ec0-8a4a-98db952c190d,Card Fraud,2025-01-19,Resolved,1
188,129,b02cbf85-8c68-4256-a328-c753c4146248,Phishing,2025-05-26,Resolved,1
189,129,ad8316ca-039a-4a54-82f7-4ec4218371e6,Identity Theft,2025-05-25,Under Investigation,0
190,129,b07fe4fc-8078-4cb7-9193-b6da1cbb5907,Identity Theft,2025-05-23,Under Investigation,0
191,129,f127d7fa-827a-4d9b-b0a1-f7b6ecb83677,Card Fraud,2025-05-23,Under Investigation,0
192,131,82892e3c-2872-4550-a03f-96b7ab1b4705,Account Takeover,2025-05-09,Under Investigation,0
193,131,078828f6-72ba-417f-9550-8e39745c6ba1,Phishing,2025-02-04,Under Investigation,0
194,131,2b32c1fe-a789-4157-b0e4-1f36277f0356,Identity Theft,2025-04-17,Under Investigation,0
195,132,856d84f5-79db-49e7-886f-b6fc89dd7ccd,Identity Theft,2024-12-29,Resolved,1
196,133,13ecba61-ccfd-45f3-b6f1-da5f61811887,Identity Theft,2025-01-26,Resolved,1
197,133,093f183b-88e4-486a-98f6-14ee1575a9c3,Identity Theft,2024-11-28,Under Investigation,0
198,133,7f719de1-dd37-40b0-b7d7-dd8d36074dbf,Account Takeover,2025-04-08,Under Investigation,0
199,134,544597a0-899c-48d7-97a4-ff8a73e10e64,Card Fraud,2025-04-21,Under Investigation,0
200,134,eb665f6a-67ab-4cb7-a5b4-9d89c4ce283b,Money Laundering,2024-04-02,Resolved,1
201,134,2ed60ad4-b022-4830-a670-44f26d1f25a9,Money Laundering,2024-06-23,Resolved,1
202,135,d68bc093-3c33-4317-ab93-b5c5ab557ad2,Identity Theft,2024-06-20,Resolved,1
203,135,7ab733c5-a286-46d3-a6a1-3fa7e64f3de8,Account Takeover,2024-07-12,Resolved,1
204,135,fe5e6623-5496-4200-8354-aa8c43bc72f8,Card Fraud,2025-04-03,Under Investigation,0
205,135,37b3a7c0-50e1-4688-80b3-05f74de566a1,Account Takeover,2024-12-16,Under Investigation,0
206,136,521ace8f-0f75-4ca0-be2e-7d5c16337288,Money Laundering,2025-05-14,Under Investigation,0
207,136,ae806400-23d9-4322-b512-4b125e4ccaf5,Card Fraud,2025-03-19,Under Investigation,0
208,136,05da9f65-04e7-4d74-b823-5d6c1a2880d3,Identity Theft,2025-01-13,Under Investigation,0
209,137,e1b06276-a205-4170-aa49-cfb699b0dab2,Phishing,2025-05-21,Resolved,1
210,137,b1a79808-97c1-4697-8776-db7e963d78f0,Phishing,2025-04-20,Under Investigation,0
211,138,61d0dc14-ab14-4844-8845-730a4ce3880b,Money Laundering,2025-05-26,Under Investigation,0
212,139,acc11307-2a86-4ac9-a41a-403c5142f043,Account Takeover,2023-07-07,Resolved,1
213,139,49dc2d64-d575-4f3f-af6b-e9769072af28,Card Fraud,2023-11-27,Under Investigation,0
214,140,d8e84386-ed1c-4e9e-b7ce-7e1eaa13bcca,Money Laundering,2025-02-21,Under Investigation,0
215,140,03ca8249-abcf-4d3b-aa91-46f25c2a0de7,Money Laundering,2025-03-19,Under Investigation,0
216,140,59de6572-c815-4de1-b980-b2d073e83c67,Account Takeover,2025-04-06,Under Investigation,0
217,140,4b1a88e5-a7f0-438b-a58d-c8bdd47d71b3,Identity Theft,2025-03-02,Under Investigation,0
218,142,f7a0e853-96ac-4714-aec3-70514044eb83,Card Fraud,2025-03-26,Under Investigation,0
219,142,4eedb8d2-4eb9-4e4d-9094-2adae91c1bfa,Phishing,2025-04-10,Resolved,1
220,143,8116b7d8-25b0-4fcb-a58f-cf2de5d27123,Money Laundering,2024-02-23,Resolved,1
221,143,a658d70e-6411-48cb-bfb8-fc9cc8578f1a,Phishing,2024-08-11,Under Investigation,0
222,143,57bf4a24-3db7-4c61-93f8-f229f1be6696,Identity Theft,2025-02-27,Under Investigation,0
223,144,c3c2381a-aa50-4517-8e74-5ff580fbb6d4,Money Laundering,2025-04-15,Under Investigation,0
224,145,e77ea28c-515a-4574-a308-c543c4110ea6,Money Laundering,2024-11-14,Under Investigation,0
225,146,bc3e765b-f4c4-4c85-bbd3-819cf4a1859c,Money Laundering,2025-03-17,Under Investigation,0
226,147,cc98a1b8-d3db-49c9-9b87-de16a1522346,Account Takeover,2023-05-24,Resolved,1
227,147,4ff05e01-4d4d-4580-8624-2485ce82023f,Card Fraud,2024-02-15,Under Investigation,0
228,147,33091f70-ee8b-4e49-9b7b-05e62caa4e82,Identity Theft,2023-04-01,Under Investigation,0
229,148,0fbf365f-3580-4eb0-8d06-214e414bc626,Phishing,2025-05-19,Under Investigation,0
230,148,fb81ab55-aae0-45d2-adef-fbc11c40eff7,Account Takeover,2024-12-23,Resolved,1
231,148,ba2dc914-6a13-4e86-a319-a7928536214d,Money Laundering,2025-02-28,Resolved,1
232,148,16017e1f-33eb-4f55-a1df-a85627d78af4,Money Laundering,2024-12-23,Under Investigation,0
233,148,445c6c8b-04b5-4441-955c-ce2c224635a1,Identity Theft,2025-03-15,Resolved,1
234,149,b75d4ea2-5dc8-4931-a050-c4bdc40e7b17,Identity Theft,2023-12-06,Resolved,1
235,149,1bbf0e61-84e0-46c9-b99b-41132e22d748,Account Takeover,2024-10-02,Resolved,1
236,150,83dd70e1-90dc-44b8-af41-2cc47405f46e,Identity Theft,2025-02-02,Resolved,1
237,153,f4b4899a-2462-4f3f-89d9-f91ec275850c,Phishing,2023-10-23,Under Investigation,0
238,153,1827dc27-0050-4d8d-83bd-bb5e3d54b69b,Phishing,2022-05-08,Under Investigation,0
239,153,0e271e30-1311-4707-a156-a8d94935153f,Card Fraud,2022-09-13,Resolved,1
240,153,c95fd1b8-7d39-4815-a9c1-dc361f9330dd,Card Fraud,2023-10-24,Under Investigation,0
241,156,021f212c-576c-49b0-8619-62d600fb332d,Identity Theft,2021-03-03,Under Investigation,0
242,158,ae63cfa7-d783-4912-ba54-ad81f7da4a4f,Card Fraud,2025-04-03,Resolved,1
243,160,a1d811be-97a8-413f-948f-9aba3eb840fa,Account Takeover,2024-09-01,Resolved,1
244,161,ff0318ec-ecc1-4b02-ad1f-f62aa6887a35,Card Fraud,2024-01-01,Resolved,1
245,163,268d1530-3180-4e62-bad8-02c54827a568,Phishing,2025-04-05,Under Investigation,0
246,169,eb3a260a-2e0f-4d7e-a96c-a9dba1687c79,Identity Theft,2024-02-05,Under Investigation,0
247,169,a0caef20-f7fc-4ccd-97cc-5eb8f524dd6f,Identity Theft,2022-03-10,Under Investigation,0
248,170,85eadb85-9c50-4591-866c-be91ff1f7436,Account Takeover,2025-05-18,Under Investigation,0
249,170,fe02e874-b68a-482f-8f29-1a1d4b4582ae,Identity Theft,2025-05-25,Resolved,1
250,171,12f1b5f3-f1df-4d9e-9139-081d12ecbc6a,Identity Theft,2025-05-16,Resolved,1
251,175,49d7ecc3-d4f1-4195-9e65-dbffefde02a8,Identity Theft,2021-01-09,Resolved,1
252,175,dcc1e26b-74b0-4cba-bfd0-9c80a9ff02c5,Account Takeover,2024-08-01,Under Investigation,0
253,176,f6bc2259-b104-45ee-9b42-36cb7ba9d363,Phishing,2025-03-15,Resolved,1
254,177,ecc33bef-1a19-4aa7-be78-50f5f0d84bd8,Money Laundering,2025-03-20,Resolved,1
255,178,3d8ef6ed-33b4-462e-81a1-1b541719580c,Account Takeover,2025-05-03,Under Investigation,0
256,180,c5dddcc9-3fe6-48d5-b5c2-e08bc69c0c11,Money Laundering,2025-05-16,Under Investigation,0
257,180,4f42b729-24dc-4206-8e2d-b90e716d1e55,Phishing,2025-05-18,Resolved,1
258,180,29153e78-e477-4a87-9090-b43644777fbb,Account Takeover,2025-05-12,Under Investigation,0
259,180,5f9cd0ef-2497-41ab-bb51-b3c0d76d094f,Money Laundering,2025-05-20,Resolved,1
260,180,2879b40f-2cd6-423f-8733-f6f09e3f0152,Phishing,2025-05-23,Resolved,1
261,181,dba02581-536b-4778-9f59-a00718abb137,Money Laundering,2024-10-18,Under Investigation,0
