Investment_ID,Client_ID,Type_Client,Account_ID,Investment_Type,Investment_Amount,Current_Value,Interest_Rate,Start_Date,Maturity_Date,Risk_Level,Status,Created_At,Updated_At
18,19,Individual,44,Fondo Renta Fija,12152.4,12894.7,2.5,2022-12-24,2025-12-24,Baja,Activo,2022-12-18 11:52:09,2023-01-19 11:35:53
19,22,Individual,50,Fondo Renta Variable,26722.7,28091.65,5.0,2024-05-10,2029-05-10,Media,Activo,2024-05-05 13:28:25,2024-10-02 23:27:23
20,23,Empresa,53,Depósito a Plazo,6492.2,6497.29,1.2,2025-04-25,2026-04-25,Baja,Activo,2025-04-21 20:39:07,2025-04-23 03:51:14
21,24,Individual,56,Depósito a Plazo,17381.88,17590.89,1.2,2020-01-08,2021-01-08,Baja,Vencido,2020-01-06 16:20:08,2020-04-26 23:12:09
22,25,Individual,57,Fondo Renta Variable,19634.3,21749.71,5.0,2023-04-14,2028-04-14,Media,Activo,2023-04-12 10:31:55,2024-06-12 04:15:37
23,26,Empresa,59,Fondo Renta Fija,7385.44,7953.45,2.5,2022-04-25,2025-04-25,Baja,Vencido,2022-04-21 18:18:53,2023-11-24 07:55:04
24,26,Empresa,61,Fondo Renta Variable,22673.57,25203.82,5.0,2023-03-19,2028-03-19,Media,Activo,2023-03-16 15:52:17,2024-02-26 00:47:41
25,27,Individual,62,Depósito a Plazo,17482.55,17692.77,1.2,2024-02-28,2025-02-28,Baja,Vencido,2024-02-27 06:04:48,2024-10-13 13:41:47
26,29,Individual,68,Fondo Renta Fija,9240.14,9824.45,2.5,2022-11-24,2025-11-24,Baja,Activo,2022-11-18 11:24:46,2025-02-13 13:24:04
27,30,Individual,72,Fondo Renta Fija,36178.55,38961.0,2.5,2021-05-14,2024-05-14,Baja,Vencido,2021-05-09 11:26:14,2022-08-08 17:02:38
28,31,Individual,75,Fondo Renta Fija,10349.74,11145.73,2.5,2021-06-22,2024-06-22,Baja,Vencido,2021-06-21 21:37:48,2021-10-04 12:38:18
29,34,Individual,81,Fondo Renta Fija,14281.76,15379.11,2.5,2020-10-26,2023-10-26,Baja,Vencido,2020-10-24 20:57:31,2021-09-30 17:07:12
30,35,Individual,84,Fondo Renta Fija,2955.6,3182.7,2.5,2020-10-04,2023-10-04,Baja,Vencido,2020-10-03 11:58:43,2021-09-05 09:26:23
31,36,Individual,87,Fondo Renta Fija,19257.61,20737.29,2.5,2020-04-09,2023-04-09,Baja,Vencido,2020-04-06 13:58:25,2022-07-16 00:16:01
32,36,Individual,85,Depósito a Plazo,13737.56,13902.3,1.2,2021-10-30,2022-10-30,Baja,Vencido,2021-10-25 09:32:57,2024-06-25 16:13:13
33,37,Individual,90,Fondo Renta Fija,33277.65,35405.94,2.5,2022-11-14,2025-11-14,Baja,Activo,2022-11-09 10:27:42,2023-12-05 06:12:49
34,37,Individual,88,Fondo Renta Variable,88697.08,108490.86,5.0,2021-04-02,2026-04-02,Media,Activo,2021-03-27 15:16:11,2024-10-29 23:32:23
35,38,Individual,91,Fondo Renta Fija,11340.5,11894.09,2.5,2023-06-14,2026-06-14,Baja,Activo,2023-06-10 04:11:38,2024-03-31 13:40:40
36,39,Individual,93,Fondo Renta Fija,44762.51,48205.14,2.5,2021-12-13,2024-12-13,Baja,Vencido,2021-12-10 18:07:27,2024-12-06 19:33:24
37,40,Individual,94,Fondo Renta Variable,30456.98,38104.38,5.0,2020-10-15,2025-10-15,Media,Activo,2020-10-14 04:37:22,2022-11-13 23:37:47
38,40,Individual,96,Depósito a Plazo,14030.8,14199.05,1.2,2021-04-20,2022-04-20,Baja,Vencido,2021-04-14 22:55:56,2022-07-13 20:24:45
39,41,Individual,97,Fondo Renta Fija,20432.25,22003.67,2.5,2022-01-16,2025-01-16,Baja,Vencido,2022-01-11 14:15:04,2023-01-05 12:18:09
40,42,Individual,99,Fondo Renta Variable,55649.26,60204.52,5.0,2023-10-08,2028-10-08,Media,Activo,2023-10-06 14:51:42,2025-02-09 02:53:11
41,43,Individual,100,Fondo Renta Variable,30307.78,33613.54,5.0,2023-04-05,2028-04-05,Media,Activo,2023-04-02 14:12:25,2024-03-21 12:45:15
42,43,Individual,100,Fondo Renta Fija,26818.09,28308.45,2.5,2023-03-11,2026-03-11,Baja,Activo,2023-03-09 04:25:03,2024-06-21 20:08:33
43,43,Individual,100,Depósito a Plazo,3139.62,3177.27,1.2,2024-03-27,2025-03-27,Baja,Vencido,2024-03-22 21:03:58,2025-04-23 20:16:58
44,44,Individual,101,Fondo Renta Variable,87910.62,101580.78,5.0,2022-06-02,2027-06-02,Media,Activo,2022-05-27 06:51:36,2023-04-22 01:48:10
45,45,Individual,102,Depósito a Plazo,16965.96,17169.41,1.2,2020-10-15,2021-10-15,Baja,Vencido,2020-10-12 08:20:47,2025-02-09 15:35:00
46,45,Individual,104,Fondo Renta Variable,49066.31,62628.7,5.0,2020-02-17,2025-02-17,Media,Vencido,2020-02-11 13:03:28,2025-01-23 14:40:09
47,46,Individual,106,Fondo Renta Variable,95645.66,122083.02,5.0,2020-01-31,2025-01-31,Media,Vencido,2020-01-24 01:01:31,2021-03-24 17:33:18
48,46,Individual,105,Fondo Renta Fija,15025.97,16091.06,2.5,2022-08-10,2025-08-10,Baja,Activo,2022-08-03 23:28:18,2023-06-03 12:18:10
49,47,Empresa,107,Fondo Renta Variable,70030.31,76945.87,5.0,2023-06-14,2028-06-14,Media,Activo,2023-06-10 09:30:28,2024-09-15 23:09:29
50,47,Empresa,107,Fondo Renta Fija,26065.77,28068.56,2.5,2020-03-08,2023-03-08,Baja,Vencido,2020-03-02 16:39:45,2021-02-06 00:25:02
51,48,Individual,108,Fondo Renta Fija,31111.07,32117.64,2.5,2024-02-03,2027-02-03,Baja,Activo,2024-02-01 18:05:40,2024-12-12 02:47:21
52,48,Individual,110,Fondo Renta Variable,12229.38,14593.38,5.0,2021-10-04,2026-10-04,Media,Activo,2021-10-01 12:02:05,2024-11-20 14:12:52
53,50,Individual,115,Depósito a Plazo,9691.26,9807.48,1.2,2021-05-13,2022-05-13,Baja,Vencido,2021-05-07 09:19:20,2023-04-08 14:11:43
54,51,Individual,118,Depósito a Plazo,7541.18,7577.22,1.2,2024-12-24,2025-12-24,Baja,Activo,2024-12-22 10:34:48,2025-01-30 01:06:33
55,53,Individual,123,Fondo Renta Fija,3468.65,3735.17,2.5,2020-10-22,2023-10-22,Baja,Vencido,2020-10-20 04:16:03,2024-04-27 12:08:58
56,56,Individual,130,Depósito a Plazo,5363.12,5427.43,1.2,2023-01-21,2024-01-21,Baja,Vencido,2023-01-16 11:45:29,2025-04-24 05:17:51
57,56,Individual,131,Depósito a Plazo,10923.03,11054.02,1.2,2021-04-01,2022-04-01,Baja,Vencido,2021-03-26 00:44:36,2021-04-18 15:27:17
58,57,Empresa,132,Depósito a Plazo,7212.27,7298.76,1.2,2020-07-25,2021-07-25,Baja,Vencido,2020-07-22 08:36:56,2024-06-15 08:18:10
59,57,Empresa,132,Fondo Renta Variable,83363.47,85826.75,5.0,2024-10-13,2029-10-13,Media,Activo,2024-10-09 07:45:49,2025-04-13 08:36:18
60,59,Individual,140,Depósito a Plazo,5835.29,5905.46,1.2,2023-04-12,2024-04-12,Baja,Vencido,2023-04-08 20:53:28,2024-01-29 08:04:12
61,59,Individual,140,Fondo Renta Variable,98946.36,101381.38,5.0,2024-11-18,2029-11-18,Media,Activo,2024-11-12 06:16:31,2024-12-23 21:22:55
62,59,Individual,139,Depósito a Plazo,8135.61,8233.17,1.2,2022-01-08,2023-01-08,Baja,Vencido,2022-01-03 02:16:20,2024-10-04 20:16:26
63,60,Empresa,141,Fondo Renta Variable,76603.43,93398.46,5.0,2021-04-26,2026-04-26,Media,Activo,2021-04-19 15:46:58,2022-12-21 11:09:35
64,60,Empresa,141,Depósito a Plazo,18389.16,18609.68,1.2,2022-09-23,2023-09-23,Baja,Vencido,2022-09-20 18:44:54,2024-12-26 02:22:08
65,60,Empresa,141,Depósito a Plazo,18951.96,19179.85,1.2,2023-05-31,2024-05-31,Baja,Vencido,2023-05-26 10:23:31,2025-04-03 02:32:52
66,62,Empresa,145,Depósito a Plazo,5878.46,5949.15,1.2,2024-02-15,2025-02-15,Baja,Vencido,2024-02-12 10:41:21,2024-07-26 04:05:09
67,65,Empresa,153,Fondo Renta Variable,20252.02,20565.53,5.0,2025-01-24,2030-01-24,Media,Activo,2025-01-19 14:06:35,2025-02-04 00:09:31
68,65,Empresa,153,Depósito a Plazo,7913.5,8008.4,1.2,2021-03-31,2022-03-31,Baja,Vencido,2021-03-25 15:38:41,2021-05-01 19:58:36
69,66,Empresa,156,Fondo Renta Fija,48482.73,49633.52,2.5,2024-06-06,2027-06-06,Baja,Activo,2024-06-04 10:31:58,2025-01-23 22:55:58
70,68,Empresa,159,Fondo Renta Fija,43635.89,44182.08,2.5,2024-11-16,2027-11-16,Baja,Activo,2024-11-14 07:01:06,2024-12-27 15:34:02
71,68,Empresa,159,Fondo Renta Fija,2055.81,2213.92,2.5,2021-04-15,2024-04-15,Baja,Vencido,2021-04-13 07:22:45,2021-06-06 08:51:47
72,69,Individual,160,Fondo Renta Fija,23076.53,24849.64,2.5,2020-06-20,2023-06-20,Baja,Vencido,2020-06-15 20:01:59,2020-09-23 00:59:43
73,69,Individual,161,Fondo Renta Fija,27087.04,29170.27,2.5,2021-07-22,2024-07-22,Baja,Vencido,2021-07-15 08:21:35,2023-03-18 21:48:13
74,69,Individual,161,Fondo Renta Fija,4431.7,4524.33,2.5,2024-07-17,2027-07-17,Baja,Activo,2024-07-14 16:40:20,2024-09-23 00:55:09
75,70,Individual,162,Fondo Renta Variable,81040.44,82923.96,5.0,2024-11-28,2029-11-28,Media,Activo,2024-11-25 22:40:41,2025-03-14 08:04:40
76,70,Individual,164,Depósito a Plazo,11372.89,11509.65,1.2,2023-09-03,2024-09-03,Baja,Vencido,2023-08-29 23:23:55,2025-02-14 07:18:00
77,70,Individual,163,Depósito a Plazo,2890.11,2924.77,1.2,2022-01-30,2023-01-30,Baja,Vencido,2022-01-28 14:53:35,2024-03-02 19:54:28
78,70,Individual,164,Fondo Renta Variable,61879.11,65214.36,5.0,2024-04-21,2029-04-21,Media,Activo,2024-04-18 06:42:15,2024-12-28 06:13:41
79,72,Individual,166,Depósito a Plazo,17877.87,18092.85,1.2,2023-07-26,2024-07-26,Baja,Vencido,2023-07-25 22:36:47,2025-03-29 05:48:36
80,72,Individual,167,Fondo Renta Fija,20717.91,21792.52,2.5,2023-05-02,2026-05-02,Baja,Activo,2023-04-26 07:46:34,2023-11-01 09:43:52
81,74,Empresa,170,Fondo Renta Fija,38866.97,41579.79,2.5,2022-08-25,2025-08-25,Baja,Activo,2022-08-22 03:55:12,2025-03-10 11:02:35
82,75,Individual,173,Fondo Renta Variable,86619.83,110562.37,5.0,2020-02-17,2025-02-17,Media,Vencido,2020-02-14 23:17:01,2025-05-08 17:44:46
83,75,Individual,172,Fondo Renta Variable,11287.77,12928.54,5.0,2022-08-07,2027-08-07,Media,Activo,2022-08-04 17:31:35,2022-10-13 18:34:59
84,75,Individual,172,Depósito a Plazo,18574.87,18797.61,1.2,2020-05-29,2021-05-29,Baja,Vencido,2020-05-27 23:48:22,2025-02-14 00:05:25
85,77,Individual,175,Fondo Renta Variable,36400.59,46462.06,5.0,2020-02-05,2025-02-05,Media,Vencido,2020-02-04 21:32:11,2024-03-16 19:35:40
86,77,Individual,175,Fondo Renta Fija,29496.1,31764.61,2.5,2021-05-17,2024-05-17,Baja,Vencido,2021-05-10 09:29:16,2023-01-24 04:59:53
87,77,Individual,175,Fondo Renta Fija,38068.29,39818.78,2.5,2023-07-24,2026-07-24,Baja,Activo,2023-07-21 15:23:52,2024-07-07 16:41:05
88,79,Individual,179,Fondo Renta Fija,5391.94,5806.63,2.5,2021-03-15,2024-03-15,Baja,Vencido,2021-03-09 08:35:15,2021-07-03 17:58:54
89,79,Individual,179,Fondo Renta Fija,8677.73,8803.0,2.5,2024-10-19,2027-10-19,Baja,Activo,2024-10-12 20:47:52,2024-11-26 05:08:55
90,80,Individual,181,Fondo Renta Variable,92541.05,115283.2,5.0,2020-11-16,2025-11-16,Media,Activo,2020-11-15 04:23:37,2021-07-27 22:15:01
91,80,Individual,180,Fondo Renta Variable,58613.59,65328.85,5.0,2023-02-27,2028-02-27,Media,Activo,2023-02-24 03:50:51,2024-02-29 13:15:45
92,81,Individual,184,Fondo Renta Variable,45862.3,52556.84,5.0,2022-08-03,2027-08-03,Media,Activo,2022-07-29 16:16:53,2024-05-13 20:26:29
93,82,Empresa,186,Fondo Renta Fija,7308.57,7631.21,2.5,2023-08-19,2026-08-19,Baja,Activo,2023-08-12 05:46:14,2024-12-24 04:31:47
94,84,Individual,189,Fondo Renta Fija,35202.07,37906.86,2.5,2021-02-12,2024-02-12,Baja,Vencido,2021-02-09 21:17:59,2021-12-02 21:08:55
95,87,Individual,197,Fondo Renta Fija,30298.46,30392.83,2.5,2025-04-03,2028-04-03,Baja,Activo,2025-03-28 15:04:15,2025-05-19 18:07:31
96,87,Individual,197,Fondo Renta Fija,48272.53,51949.98,2.5,2022-05-29,2025-05-29,Baja,Activo,2022-05-27 06:11:31,2022-12-07 04:32:11
97,87,Individual,197,Depósito a Plazo,1779.17,1792.12,1.2,2024-10-09,2025-10-09,Baja,Activo,2024-10-04 03:11:05,2024-10-21 03:19:28
98,87,Individual,197,Fondo Renta Fija,8433.2,8524.91,2.5,2024-12-10,2027-12-10,Baja,Activo,2024-12-06 17:30:36,2025-04-11 12:03:10
99,90,Individual,203,Fondo Renta Variable,70665.04,89644.99,5.0,2020-07-03,2025-07-03,Media,Activo,2020-06-27 04:10:32,2024-03-14 04:40:33
100,90,Individual,201,Depósito a Plazo,13092.26,13249.26,1.2,2023-01-27,2024-01-27,Baja,Vencido,2023-01-25 20:20:06,2023-06-19 21:25:08
101,90,Individual,202,Fondo Renta Fija,3769.01,3994.37,2.5,2023-01-11,2026-01-11,Baja,Activo,2023-01-04 02:35:10,2024-10-29 01:54:43
102,90,Individual,202,Depósito a Plazo,19604.18,19672.81,1.2,2025-02-01,2026-02-01,Baja,Activo,2025-01-26 19:53:09,2025-02-03 09:05:30
103,91,Individual,204,Fondo Renta Fija,15115.08,16258.87,2.5,2022-06-05,2025-06-05,Baja,Activo,2022-05-30 17:29:00,2024-05-13 09:07:31
104,92,Individual,205,Fondo Renta Fija,10974.3,11488.25,2.5,2023-07-12,2026-07-12,Baja,Activo,2023-07-09 19:40:04,2024-10-14 13:21:02
105,93,Individual,207,Depósito a Plazo,7894.26,7940.54,1.2,2024-11-21,2025-11-21,Baja,Activo,2024-11-17 06:03:59,2025-02-07 03:08:23
106,93,Individual,207,Fondo Renta Fija,10490.14,11296.16,2.5,2020-10-20,2023-10-20,Baja,Vencido,2020-10-14 20:45:47,2024-07-22 01:40:49
107,94,Individual,209,Fondo Renta Fija,41297.65,41594.66,2.5,2025-02-02,2028-02-02,Baja,Activo,2025-01-27 06:03:37,2025-04-01 03:26:18
108,94,Individual,210,Depósito a Plazo,13777.78,13943.0,1.2,2022-10-29,2023-10-29,Baja,Vencido,2022-10-28 01:10:47,2025-03-02 04:32:10
109,94,Individual,209,Fondo Renta Fija,13259.11,13358.98,2.5,2025-01-28,2028-01-28,Baja,Activo,2025-01-27 20:03:16,2025-03-06 08:57:40
110,95,Individual,211,Depósito a Plazo,5524.53,5590.78,1.2,2022-09-16,2023-09-16,Baja,Vencido,2022-09-13 14:17:11,2025-01-26 18:15:39
111,95,Individual,211,Fondo Renta Fija,32882.02,35410.94,2.5,2021-12-16,2024-12-16,Baja,Vencido,2021-12-10 08:03:53,2024-01-02 13:24:00
112,95,Individual,213,Depósito a Plazo,6668.0,6722.01,1.2,2024-09-14,2025-09-14,Baja,Activo,2024-09-09 13:51:12,2024-12-07 20:18:37
113,96,Individual,215,Fondo Renta Variable,71129.14,82091.02,5.0,2022-06-11,2027-06-11,Media,Activo,2022-06-05 04:56:02,2022-08-11 04:13:08
114,97,Empresa,216,Fondo Renta Variable,78852.86,91896.83,5.0,2022-03-30,2027-03-30,Media,Activo,2022-03-26 01:56:13,2025-04-04 20:14:26
115,98,Individual,217,Fondo Renta Fija,47320.06,48247.15,2.5,2024-08-05,2027-08-05,Baja,Activo,2024-08-02 21:49:57,2025-04-23 18:57:21
116,98,Individual,217,Fondo Renta Fija,36758.26,39582.62,2.5,2020-11-07,2023-11-07,Baja,Vencido,2020-11-03 03:36:03,2023-07-20 18:00:03
117,98,Individual,217,Depósito a Plazo,15395.21,15579.83,1.2,2021-07-10,2022-07-10,Baja,Vencido,2021-07-09 15:06:42,2024-05-03 19:03:28
118,98,Individual,217,Depósito a Plazo,13757.06,13922.03,1.2,2022-06-23,2023-06-23,Baja,Vencido,2022-06-16 09:04:42,2024-10-04 00:16:35
119,98,Individual,217,Depósito a Plazo,10265.02,10388.12,1.2,2022-12-02,2023-12-02,Baja,Vencido,2022-11-28 21:15:11,2024-12-15 02:03:06
120,100,Individual,222,Fondo Renta Variable,13192.2,15647.97,5.0,2021-11-18,2026-11-18,Media,Activo,2021-11-12 15:01:01,2023-10-28 21:31:17
121,101,Individual,224,Fondo Renta Fija,12916.03,13909.39,2.5,2020-01-27,2023-01-27,Baja,Vencido,2020-01-26 18:01:12,2022-04-05 14:48:55
122,101,Individual,224,Fondo Renta Variable,97388.35,124307.41,5.0,2020-02-16,2025-02-16,Media,Vencido,2020-02-13 19:24:39,2021-03-08 02:02:53
123,102,Empresa,225,Fondo Renta Fija,47299.2,50936.93,2.5,2020-01-18,2023-01-18,Baja,Vencido,2020-01-15 07:04:57,2021-07-19 03:09:07
124,102,Empresa,225,Fondo Renta Variable,53308.36,57257.5,5.0,2023-12-01,2028-12-01,Media,Activo,2023-11-25 08:35:39,2024-06-21 18:52:52
125,103,Empresa,226,Fondo Renta Variable,70671.51,85238.7,5.0,2021-07-16,2026-07-16,Media,Activo,2021-07-11 12:19:40,2022-02-02 17:03:47
126,103,Empresa,226,Fondo Renta Variable,66409.53,79183.32,5.0,2021-10-10,2026-10-10,Media,Activo,2021-10-06 08:12:46,2023-03-25 17:49:38
127,104,Individual,229,Fondo Renta Fija,7460.65,8034.44,2.5,2021-09-10,2024-09-10,Baja,Vencido,2021-09-08 04:31:28,2022-12-11 13:58:18
128,104,Individual,227,Fondo Renta Fija,25451.36,26574.94,2.5,2023-08-19,2026-08-19,Baja,Activo,2023-08-14 17:54:48,2024-04-24 01:18:55
129,105,Individual,230,Depósito a Plazo,18400.01,18620.66,1.2,2022-05-22,2023-05-22,Baja,Vencido,2022-05-21 04:29:16,2025-02-01 04:57:54
130,106,Individual,232,Fondo Renta Fija,3027.25,3087.6,2.5,2024-07-31,2027-07-31,Baja,Activo,2024-07-25 09:49:53,2025-04-24 21:34:03
131,106,Individual,232,Fondo Renta Fija,44376.61,47789.56,2.5,2021-12-06,2024-12-06,Baja,Vencido,2021-12-03 13:17:15,2022-11-03 07:47:21
132,106,Individual,231,Depósito a Plazo,11737.91,11878.67,1.2,2020-04-16,2021-04-16,Baja,Vencido,2020-04-09 02:11:26,2024-01-30 10:21:09
133,107,Individual,236,Depósito a Plazo,3491.44,3533.31,1.2,2021-09-16,2022-09-16,Baja,Vencido,2021-09-10 10:10:37,2023-05-14 10:32:39
134,108,Individual,237,Fondo Renta Variable,63514.57,66377.01,5.0,2024-06-23,2029-06-23,Media,Activo,2024-06-19 06:43:13,2025-02-11 22:12:45
135,109,Individual,238,Fondo Renta Fija,27744.09,28163.62,2.5,2024-10-09,2027-10-09,Baja,Activo,2024-10-05 16:11:47,2025-01-24 01:21:45
136,110,Empresa,241,Depósito a Plazo,3789.5,3835.07,1.2,2023-12-29,2024-12-29,Baja,Vencido,2023-12-26 14:01:31,2025-05-02 14:43:44
137,111,Empresa,242,Depósito a Plazo,1981.2,2005.02,1.2,2024-02-25,2025-02-25,Baja,Vencido,2024-02-19 07:47:48,2024-03-28 22:54:45
138,111,Empresa,243,Fondo Renta Fija,29441.94,31706.29,2.5,2021-12-23,2024-12-23,Baja,Vencido,2021-12-16 12:11:48,2025-02-13 02:30:10
139,111,Empresa,243,Fondo Renta Variable,21553.92,23424.4,5.0,2023-09-04,2028-09-04,Media,Activo,2023-08-31 16:44:15,2024-07-11 21:58:40
140,114,Individual,249,Fondo Renta Fija,34072.27,36692.73,2.5,2021-09-29,2024-09-29,Baja,Vencido,2021-09-25 19:32:53,2022-10-05 14:40:02
141,114,Individual,249,Depósito a Plazo,9265.54,9376.65,1.2,2020-03-24,2021-03-24,Baja,Vencido,2020-03-22 23:53:28,2020-12-13 19:05:24
142,114,Individual,249,Depósito a Plazo,5689.91,5758.14,1.2,2020-06-16,2021-06-16,Baja,Vencido,2020-06-10 02:37:27,2023-01-22 06:23:37
143,115,Individual,251,Fondo Renta Fija,10057.01,10067.21,2.5,2025-05-04,2028-05-04,Baja,Activo,2025-05-01 08:11:47,2025-05-15 06:24:00
144,117,Individual,256,Fondo Renta Fija,44756.45,48198.62,2.5,2022-02-27,2025-02-27,Baja,Vencido,2022-02-22 04:30:10,2024-02-01 02:08:27
145,119,Individual,262,Fondo Renta Fija,33946.91,34080.28,2.5,2025-03-22,2028-03-22,Baja,Activo,2025-03-16 01:44:13,2025-03-22 13:02:26
146,119,Individual,262,Fondo Renta Variable,23114.37,28013.22,5.0,2021-06-10,2026-06-10,Media,Activo,2021-06-05 04:59:13,2023-08-25 11:07:47
147,120,Individual,263,Fondo Renta Fija,21793.99,23098.65,2.5,2023-01-10,2026-01-10,Baja,Activo,2023-01-07 16:00:56,2024-12-02 07:07:02
148,120,Individual,265,Fondo Renta Fija,34255.56,34506.59,2.5,2025-01-31,2028-01-31,Baja,Activo,2025-01-27 14:18:31,2025-03-31 23:23:40
149,120,Individual,264,Fondo Renta Variable,93788.87,102940.54,5.0,2023-06-22,2028-06-22,Media,Activo,2023-06-16 12:49:59,2024-08-17 10:24:09
150,121,Individual,267,Fondo Renta Fija,42232.17,45027.41,2.5,2022-10-14,2025-10-14,Baja,Activo,2022-10-13 09:11:38,2024-09-12 09:43:20
151,122,Individual,270,Fondo Renta Variable,29291.46,34669.98,5.0,2021-12-04,2026-12-04,Media,Activo,2021-12-01 03:35:03,2023-02-19 14:20:23
152,122,Individual,270,Depósito a Plazo,4703.6,4760.0,1.2,2024-03-08,2025-03-08,Baja,Vencido,2024-03-05 22:03:20,2024-11-06 09:12:59
153,122,Individual,271,Depósito a Plazo,9458.79,9572.22,1.2,2020-06-05,2021-06-05,Baja,Vencido,2020-06-01 22:18:27,2023-06-18 06:24:21
154,122,Individual,270,Depósito a Plazo,13936.62,14103.74,1.2,2021-08-26,2022-08-26,Baja,Vencido,2021-08-19 05:09:37,2022-04-28 19:18:27
155,123,Individual,272,Depósito a Plazo,5461.87,5527.37,1.2,2020-03-01,2021-03-01,Baja,Vencido,2020-02-24 09:25:55,2023-07-14 18:35:24
156,124,Individual,276,Depósito a Plazo,5439.24,5490.82,1.2,2024-08-03,2025-08-03,Baja,Activo,2024-08-02 06:01:28,2025-02-10 13:27:08
157,124,Individual,276,Depósito a Plazo,4637.81,4693.58,1.2,2023-06-27,2024-06-27,Baja,Vencido,2023-06-21 20:49:25,2023-09-18 10:17:39
158,125,Individual,280,Depósito a Plazo,11867.62,12010.33,1.2,2023-07-27,2024-07-27,Baja,Vencido,2023-07-24 10:01:40,2024-05-11 17:54:29
159,125,Individual,279,Fondo Renta Variable,83331.36,93851.27,5.0,2022-12-11,2027-12-11,Media,Activo,2022-12-05 21:39:36,2024-02-10 07:42:55
160,126,Individual,281,Fondo Renta Variable,61514.77,78518.03,5.0,2020-02-13,2025-02-13,Media,Vencido,2020-02-09 20:11:55,2023-06-12 18:07:01
161,127,Individual,282,Fondo Renta Fija,19334.67,20820.27,2.5,2021-02-21,2024-02-21,Baja,Vencido,2021-02-19 12:35:20,2025-04-10 01:45:23
162,128,Individual,284,Fondo Renta Variable,89436.36,93879.96,5.0,2024-05-21,2029-05-21,Media,Activo,2024-05-17 06:23:27,2024-06-10 02:58:01
163,128,Individual,285,Fondo Renta Variable,20945.88,22276.28,5.0,2024-02-13,2029-02-13,Media,Activo,2024-02-08 14:48:50,2025-02-18 13:02:00
164,129,Individual,286,Depósito a Plazo,632.27,639.85,1.2,2021-02-17,2022-02-17,Baja,Vencido,2021-02-15 14:19:01,2021-09-23 08:08:00
165,130,Individual,287,Fondo Renta Variable,71831.3,73993.34,5.0,2024-10-09,2029-10-09,Media,Activo,2024-10-08 15:25:29,2025-02-12 07:21:35
166,130,Individual,287,Fondo Renta Variable,5142.52,5471.34,5.0,2024-02-10,2029-02-10,Media,Activo,2024-02-08 14:53:18,2024-10-17 04:05:08
