Online_Service_Metrics_ID,Date,Total_Resolution_Time,Total_Requests
166,2020-06-14,4577,50
167,2020-06-15,7724,57
168,2020-06-16,6226,46
169,2020-06-17,7091,64
170,2020-06-18,6331,47
171,2020-06-19,6409,68
172,2020-06-20,6921,49
173,2020-06-21,5426,48
174,2020-06-22,9800,70
175,2020-06-23,5591,52
176,2020-06-24,6549,55
177,2020-06-25,10510,74
178,2020-06-26,6470,48
179,2020-06-27,4812,59
180,2020-06-28,5413,49
181,2020-06-29,9048,66
182,2020-06-30,7257,56
183,2020-07-01,6632,51
184,2020-07-02,8642,63
185,2020-07-03,5331,66
186,2020-07-04,8475,66
187,2020-07-05,6796,51
188,2020-07-06,8232,59
189,2020-07-07,4880,52
190,2020-07-08,3764,47
191,2020-07-09,7259,59
192,2020-07-10,6847,59
193,2020-07-11,7419,65
194,2020-07-12,6443,62
195,2020-07-13,7100,59
196,2020-07-14,7696,81
197,2020-07-15,6343,61
198,2020-07-16,7161,59
199,2020-07-17,7562,66
200,2020-07-18,5508,62
201,2020-07-19,8899,70
202,2020-07-20,6315,66
203,2020-07-21,4394,52
204,2020-07-22,5377,66
205,2020-07-23,7778,64
206,2020-07-24,5740,60
207,2020-07-25,6901,60
208,2020-07-26,6461,60
209,2020-07-27,6062,67
210,2020-07-28,5351,68
211,2020-07-29,7773,69
212,2020-07-30,9266,66
213,2020-07-31,3156,35
214,2020-08-01,7972,73
215,2020-08-02,5927,54
216,2020-08-03,5351,52
217,2020-08-04,9023,70
218,2020-08-05,5094,59
219,2020-08-06,7321,65
220,2020-08-07,4258,55
221,2020-08-08,5265,66
222,2020-08-09,7381,52
223,2020-08-10,9702,72
224,2020-08-11,9061,78
225,2020-08-12,3833,47
226,2020-08-13,5579,60
227,2020-08-14,7524,68
228,2020-08-15,9120,70
229,2020-08-16,7156,53
230,2020-08-17,9105,68
231,2020-08-18,6413,62
232,2020-08-19,10456,77
233,2020-08-20,6560,74
234,2020-08-21,9059,67
235,2020-08-22,7225,56
236,2020-08-23,7658,62
237,2020-08-24,5340,60
238,2020-08-25,5553,69
239,2020-08-26,6071,50
240,2020-08-27,8551,67
241,2020-08-28,6625,56
242,2020-08-29,6678,66
243,2020-08-30,5004,54
244,2020-08-31,4935,51
245,2020-09-01,3919,45
246,2020-09-02,5150,61
247,2020-09-03,7191,52
248,2020-09-04,8863,66
249,2020-09-05,5009,56
250,2020-09-06,7924,67
251,2020-09-07,9228,65
252,2020-09-08,5999,54
253,2020-09-09,5179,57
254,2020-09-10,4765,43
255,2020-09-11,7115,67
256,2020-09-12,6522,58
257,2020-09-13,6741,67
258,2020-09-14,5401,69
259,2020-09-15,5789,55
260,2020-09-16,6506,57
261,2020-09-17,7600,67
262,2020-09-18,6657,72
263,2020-09-19,5118,46
264,2020-09-20,5956,63
265,2020-09-21,6975,59
266,2020-09-22,3469,45
267,2020-09-23,6551,61
268,2020-09-24,7059,65
269,2020-09-25,4683,50
270,2020-09-26,7933,66
271,2020-09-27,5392,66
272,2020-09-28,5461,65
273,2020-09-29,4867,54
274,2020-09-30,7540,68
275,2020-10-01,7033,57
276,2020-10-02,7818,61
277,2020-10-03,6581,66
278,2020-10-04,6117,69
279,2020-10-05,7300,56
280,2020-10-06,5580,57
281,2020-10-07,6161,57
282,2020-10-08,6951,67
283,2020-10-09,5367,58
284,2020-10-10,7404,56
285,2020-10-11,4445,57
286,2020-10-12,8658,61
287,2020-10-13,6544,62
288,2020-10-14,5867,69
289,2020-10-15,6663,54
290,2020-10-16,5261,47
291,2020-10-17,6676,56
292,2020-10-18,7135,61
293,2020-10-19,8484,67
294,2020-10-20,6012,50
295,2020-10-21,8739,68
296,2020-10-22,6109,51
297,2020-10-23,5767,69
298,2020-10-24,7212,77
299,2020-10-25,6905,69
300,2020-10-26,5423,59
301,2020-10-27,6578,68
302,2020-10-28,3573,46
303,2020-10-29,7358,52
304,2020-10-30,5317,66
305,2020-10-31,4317,45
306,2020-11-01,6576,58
307,2020-11-02,5977,65
308,2020-11-03,5797,65
309,2020-11-04,7300,55
310,2020-11-05,6173,55
311,2020-11-06,4617,55
312,2020-11-07,8945,67
313,2020-11-08,5193,62
314,2020-11-09,7091,51
315,2020-11-10,9532,70
316,2020-11-11,9272,75
317,2020-11-12,7541,60
318,2020-11-13,8833,62
319,2020-11-14,7145,60
320,2020-11-15,4365,46
321,2020-11-16,4573,49
322,2020-11-17,8050,61
323,2020-11-18,5306,65
324,2020-11-19,6048,50
325,2020-11-20,6736,65
326,2020-11-21,6341,57
327,2020-11-22,6594,58
328,2020-11-23,7086,54
329,2020-11-24,6912,67
330,2020-11-25,7221,51
331,2020-11-26,6144,56
332,2020-11-27,6480,57
333,2020-11-28,5918,55
334,2020-11-29,8288,71
335,2020-11-30,7433,64
336,2020-12-01,5425,66
337,2020-12-02,6145,54
338,2020-12-03,6271,59
339,2020-12-04,4925,57
340,2020-12-05,8406,61
341,2020-12-06,5063,59
342,2020-12-07,5284,49
343,2020-12-08,5811,67
344,2020-12-09,6918,62
345,2020-12-10,5377,65
346,2020-12-11,9258,65
347,2020-12-12,6825,55
348,2020-12-13,6077,73
349,2020-12-14,6849,58
350,2020-12-15,5700,55
351,2020-12-16,8427,62
352,2020-12-17,8686,66
353,2020-12-18,4517,48
354,2020-12-19,10290,74
355,2020-12-20,4670,47
356,2020-12-21,7114,54
357,2020-12-22,6838,63
358,2020-12-23,5933,64
359,2020-12-24,7288,58
360,2020-12-25,7364,72
361,2020-12-26,5842,57
362,2020-12-27,5775,65
363,2020-12-28,6577,65
364,2020-12-29,7195,65
365,2020-12-30,4969,57
366,2020-12-31,4792,46
367,2021-01-01,6253,50
368,2021-01-02,3974,47
369,2021-01-03,6996,53
370,2021-01-04,4407,53
371,2021-01-05,7117,59
372,2021-01-06,5989,52
373,2021-01-07,4694,54
374,2021-01-08,5704,62
375,2021-01-09,6464,68
376,2021-01-10,5781,61
377,2021-01-11,7357,56
378,2021-01-12,8370,72
379,2021-01-13,8705,65
380,2021-01-14,4971,52
381,2021-01-15,8264,67
382,2021-01-16,7296,53
383,2021-01-17,6801,58
384,2021-01-18,4947,52
385,2021-01-19,8017,63
386,2021-01-20,7001,72
387,2021-01-21,6038,57
388,2021-01-22,7926,65
389,2021-01-23,8106,60
390,2021-01-24,7838,63
391,2021-01-25,5568,46
392,2021-01-26,5817,70
393,2021-01-27,5215,57
394,2021-01-28,6726,64
395,2021-01-29,4244,53
396,2021-01-30,7235,61
397,2021-01-31,4777,62
398,2021-02-01,5622,54
399,2021-02-02,4362,49
400,2021-02-03,5472,67
401,2021-02-04,7261,57
402,2021-02-05,6997,70
403,2021-02-06,5380,57
404,2021-02-07,7561,53
405,2021-02-08,7412,56
406,2021-02-09,7698,58
407,2021-02-10,8723,68
408,2021-02-11,4566,52
409,2021-02-12,4607,51
410,2021-02-13,6900,57
411,2021-02-14,7904,70
412,2021-02-15,6210,57
413,2021-02-16,7648,64
414,2021-02-17,7862,63
415,2021-02-18,9853,74
416,2021-02-19,7464,63
417,2021-02-20,7436,56
418,2021-02-21,6189,58
419,2021-02-22,8155,65
420,2021-02-23,8603,70
421,2021-02-24,7357,61
422,2021-02-25,5302,43
423,2021-02-26,8956,63
424,2021-02-27,6427,49
425,2021-02-28,4915,55
426,2021-03-01,6533,78
427,2021-03-02,5510,67
428,2021-03-03,6818,59
429,2021-03-04,5451,58
430,2021-03-05,8448,61
431,2021-03-06,7341,64
432,2021-03-07,5739,65
433,2021-03-08,8364,69
434,2021-03-09,7582,70
435,2021-03-10,5814,62
436,2021-03-11,6542,48
437,2021-03-12,6401,65
438,2021-03-13,6579,60
439,2021-03-14,6488,49
440,2021-03-15,8583,64
441,2021-03-16,4045,44
442,2021-03-17,7875,63
443,2021-03-18,6472,51
444,2021-03-19,6761,61
445,2021-03-20,5324,58
446,2021-03-21,4401,50
447,2021-03-22,5644,40
448,2021-03-23,5838,63
449,2021-03-24,5500,50
450,2021-03-25,5705,61
451,2021-03-26,5530,64
452,2021-03-27,4615,50
453,2021-03-28,6393,52
454,2021-03-29,5395,54
455,2021-03-30,6390,58
456,2021-03-31,4766,43
457,2021-04-01,9550,73
458,2021-04-02,8988,63
459,2021-04-03,7138,72
460,2021-04-04,5029,50
461,2021-04-05,7507,65
462,2021-04-06,5259,47
463,2021-04-07,7200,53
464,2021-04-08,4046,52
465,2021-04-09,6664,56
466,2021-04-10,5017,64
467,2021-04-11,6058,60
468,2021-04-12,10393,75
469,2021-04-13,8087,62
470,2021-04-14,4956,63
471,2021-04-15,5633,58
472,2021-04-16,5076,64
473,2021-04-17,6834,66
474,2021-04-18,6652,59
475,2021-04-19,3180,29
476,2021-04-20,7861,68
477,2021-04-21,5859,69
478,2021-04-22,4039,51
479,2021-04-23,9165,66
480,2021-04-24,7129,72
481,2021-04-25,6022,54
482,2021-04-26,5078,59
483,2021-04-27,7986,61
484,2021-04-28,7908,70
485,2021-04-29,8157,74
486,2021-04-30,6926,54
487,2021-05-01,8050,68
488,2021-05-02,5438,55
489,2021-05-03,6191,64
490,2021-05-04,8467,61
491,2021-05-05,5843,54
492,2021-05-06,6793,52
493,2021-05-07,4027,50
494,2021-05-08,7765,72
495,2021-05-09,10624,82
496,2021-05-10,8035,58
497,2021-05-11,7687,74
498,2021-05-12,6882,56
499,2021-05-13,9886,78
500,2021-05-14,6770,73
501,2021-05-15,5618,59
502,2021-05-16,6419,58
503,2021-05-17,4343,44
504,2021-05-18,4880,58
505,2021-05-19,6143,66
506,2021-05-20,4578,52
507,2021-05-21,5919,69
508,2021-05-22,7613,54
509,2021-05-23,8565,70
510,2021-05-24,8449,60
511,2021-05-25,8139,70
512,2021-05-26,6224,56
513,2021-05-27,4932,55
514,2021-05-28,6258,61
515,2021-05-29,5813,63
516,2021-05-30,7322,61
517,2021-05-31,7129,60
518,2021-06-01,8180,60
519,2021-06-02,7411,68
520,2021-06-03,6814,51
521,2021-06-04,7231,61
522,2021-06-05,6037,60
523,2021-06-06,4785,38
524,2021-06-07,7329,58
525,2021-06-08,7501,57
526,2021-06-09,5374,55
527,2021-06-10,6827,50
528,2021-06-11,6550,60
529,2021-06-12,7952,67
530,2021-06-13,4950,61
531,2021-06-14,6322,64
532,2021-06-15,7678,58
533,2021-06-16,5383,59
534,2021-06-17,10190,72
535,2021-06-18,5241,53
536,2021-06-19,6228,68
537,2021-06-20,7502,58
538,2021-06-21,6565,68
539,2021-06-22,5340,57
540,2021-06-23,5531,52
541,2021-06-24,5094,52
542,2021-06-25,6745,62
543,2021-06-26,9240,66
544,2021-06-27,5414,59
545,2021-06-28,6869,51
546,2021-06-29,5665,60
547,2021-06-30,9035,68
548,2021-07-01,8969,72
549,2021-07-02,7502,69
550,2021-07-03,5581,50
551,2021-07-04,5341,60
552,2021-07-05,8236,64
553,2021-07-06,3843,48
554,2021-07-07,7282,63
555,2021-07-08,8752,70
556,2021-07-09,5670,49
557,2021-07-10,6245,63
558,2021-07-11,4561,52
559,2021-07-12,7805,67
560,2021-07-13,6939,66
561,2021-07-14,5488,61
562,2021-07-15,6220,59
563,2021-07-16,6701,65
564,2021-07-17,7466,57
565,2021-07-18,7997,58
566,2021-07-19,7945,65
567,2021-07-20,7346,65
568,2021-07-21,6596,65
569,2021-07-22,6424,59
570,2021-07-23,6564,66
571,2021-07-24,5324,67
572,2021-07-25,5123,51
573,2021-07-26,5385,61
574,2021-07-27,5334,60
575,2021-07-28,4101,50
576,2021-07-29,7275,56
577,2021-07-30,7403,60
578,2021-07-31,6118,57
579,2021-08-01,7233,68
580,2021-08-02,5952,70
581,2021-08-03,6559,52
582,2021-08-04,6163,49
583,2021-08-05,5536,51
584,2021-08-06,7840,62
585,2021-08-07,4838,57
586,2021-08-08,6583,62
587,2021-08-09,4959,54
588,2021-08-10,5203,56
589,2021-08-11,4534,52
590,2021-08-12,5788,65
591,2021-08-13,5351,60
592,2021-08-14,6649,62
593,2021-08-15,6615,56
594,2021-08-16,6983,56
595,2021-08-17,5470,48
596,2021-08-18,5293,46
597,2021-08-19,5706,51
598,2021-08-20,4825,57
599,2021-08-21,6601,58
600,2021-08-22,7164,74
601,2021-08-23,8584,64
602,2021-08-24,4994,64
603,2021-08-25,4759,57
604,2021-08-26,6455,53
605,2021-08-27,8509,60
606,2021-08-28,6702,56
607,2021-08-29,6956,52
608,2021-08-30,6184,58
609,2021-08-31,5612,70
610,2021-09-01,5969,50
611,2021-09-02,3952,48
612,2021-09-03,6272,52
613,2021-09-04,8035,57
614,2021-09-05,8733,64
615,2021-09-06,5668,60
616,2021-09-07,8273,59
617,2021-09-08,5763,55
618,2021-09-09,5029,65
619,2021-09-10,6910,53
620,2021-09-11,7023,53
621,2021-09-12,7228,54
622,2021-09-13,4613,47
623,2021-09-14,4938,62
624,2021-09-15,5627,56
625,2021-09-16,7532,67
626,2021-09-17,7876,64
627,2021-09-18,4449,45
628,2021-09-19,8003,60
629,2021-09-20,5516,60
630,2021-09-21,7875,60
631,2021-09-22,8695,77
632,2021-09-23,6241,63
633,2021-09-24,3622,37
634,2021-09-25,6854,68
635,2021-09-26,6162,64
636,2021-09-27,5787,73
637,2021-09-28,5642,56
638,2021-09-29,6978,76
639,2021-09-30,6192,65
640,2021-10-01,9373,66
641,2021-10-02,6355,57
642,2021-10-03,6518,53
643,2021-10-04,9274,68
644,2021-10-05,5315,61
645,2021-10-06,6347,50
646,2021-10-07,4360,55
647,2021-10-08,5961,62
648,2021-10-09,6927,50
649,2021-10-10,5922,59
650,2021-10-11,7267,55
651,2021-10-12,8193,62
652,2021-10-13,6838,54
653,2021-10-14,8545,66
654,2021-10-15,7274,70
655,2021-10-16,7848,66
656,2021-10-17,5882,56
657,2021-10-18,8534,63
658,2021-10-19,5791,59
659,2021-10-20,8285,60
660,2021-10-21,8007,65
661,2021-10-22,9475,70
662,2021-10-23,6022,64
663,2021-10-24,5728,52
664,2021-10-25,5791,67
665,2021-10-26,8090,72
666,2021-10-27,8485,65
667,2021-10-28,9160,66
668,2021-10-29,6476,59
669,2021-10-30,5213,62
670,2021-10-31,6205,49
671,2021-11-01,4365,55
672,2021-11-02,6506,61
673,2021-11-03,6052,49
674,2021-11-04,6742,50
675,2021-11-05,5214,67
676,2021-11-06,8141,57
677,2021-11-07,6162,64
678,2021-11-08,7143,56
679,2021-11-09,6405,62
680,2021-11-10,4620,54
681,2021-11-11,8316,63
682,2021-11-12,8712,66
683,2021-11-13,7138,59
684,2021-11-14,7301,57
685,2021-11-15,8421,63
686,2021-11-16,6693,58
687,2021-11-17,5992,54
688,2021-11-18,8668,73
689,2021-11-19,7217,56
690,2021-11-20,7940,68
691,2021-11-21,4238,53
692,2021-11-22,8696,67
693,2021-11-23,8494,65
694,2021-11-24,5291,65
695,2021-11-25,6661,59
696,2021-11-26,5032,54
697,2021-11-27,7976,63
698,2021-11-28,8639,71
699,2021-11-29,4359,51
700,2021-11-30,6200,70
701,2021-12-01,8220,68
702,2021-12-02,8170,61
703,2021-12-03,7753,66
704,2021-12-04,5287,62
705,2021-12-05,7171,51
706,2021-12-06,9591,80
707,2021-12-07,6397,62
708,2021-12-08,7924,60
709,2021-12-09,6058,48
710,2021-12-10,7893,61
711,2021-12-11,7526,66
712,2021-12-12,6334,56
713,2021-12-13,5364,53
714,2021-12-14,7608,58
715,2021-12-15,5986,69
716,2021-12-16,7039,67
717,2021-12-17,4857,63
718,2021-12-18,3552,42
719,2021-12-19,9108,65
720,2021-12-20,9807,71
721,2021-12-21,8374,64
722,2021-12-22,4771,54
723,2021-12-23,5111,56
724,2021-12-24,5876,63
725,2021-12-25,7392,64
726,2021-12-26,8066,61
727,2021-12-27,6784,55
728,2021-12-28,10082,71
729,2021-12-29,6812,66
730,2021-12-30,6086,56
731,2021-12-31,9235,69
732,2022-01-01,7066,63
733,2022-01-02,9118,71
734,2022-01-03,5731,51
735,2022-01-04,4775,55
736,2022-01-05,4825,62
737,2022-01-06,3683,45
738,2022-01-07,5603,55
739,2022-01-08,7919,60
740,2022-01-09,7302,67
741,2022-01-10,4882,56
742,2022-01-11,7933,63
743,2022-01-12,6686,61
744,2022-01-13,8037,70
745,2022-01-14,6814,64
746,2022-01-15,6593,80
747,2022-01-16,5608,59
748,2022-01-17,5912,57
749,2022-01-18,4219,48
750,2022-01-19,5347,58
751,2022-01-20,5318,63
752,2022-01-21,5603,54
753,2022-01-22,7028,61
754,2022-01-23,8059,77
755,2022-01-24,5237,63
756,2022-01-25,5639,52
757,2022-01-26,7328,58
758,2022-01-27,7564,59
759,2022-01-28,8050,64
760,2022-01-29,5427,63
761,2022-01-30,6812,51
762,2022-01-31,6149,61
763,2022-02-01,7177,66
764,2022-02-02,6963,57
765,2022-02-03,6035,56
766,2022-02-04,5256,58
767,2022-02-05,8111,59
768,2022-02-06,6680,66
769,2022-02-07,5041,56
770,2022-02-08,6015,55
771,2022-02-09,4778,57
772,2022-02-10,5737,46
773,2022-02-11,5303,64
774,2022-02-12,9467,70
775,2022-02-13,8004,57
776,2022-02-14,5774,59
777,2022-02-15,8022,62
778,2022-02-16,6733,71
779,2022-02-17,6918,60
780,2022-02-18,7381,65
781,2022-02-19,5926,57
782,2022-02-20,5952,63
783,2022-02-21,5643,54
784,2022-02-22,4960,54
785,2022-02-23,7948,71
786,2022-02-24,7919,62
787,2022-02-25,9095,75
788,2022-02-26,8421,69
789,2022-02-27,6370,64
790,2022-02-28,6569,74
791,2022-03-01,5937,65
792,2022-03-02,7207,55
793,2022-03-03,6851,60
794,2022-03-04,7671,62
795,2022-03-05,7303,59
796,2022-03-06,4092,53
797,2022-03-07,5195,56
798,2022-03-08,5424,61
799,2022-03-09,7809,58
800,2022-03-10,5918,54
801,2022-03-11,6065,68
802,2022-03-12,4741,53
803,2022-03-13,6059,48
804,2022-03-14,4766,54
805,2022-03-15,4848,52
806,2022-03-16,7201,55
807,2022-03-17,7338,52
808,2022-03-18,8356,60
809,2022-03-19,6216,55
810,2022-03-20,8080,61
811,2022-03-21,5852,67
812,2022-03-22,7868,57
813,2022-03-23,6886,57
814,2022-03-24,4929,58
815,2022-03-25,5293,59
816,2022-03-26,8201,63
817,2022-03-27,6181,50
818,2022-03-28,4971,64
819,2022-03-29,6763,54
820,2022-03-30,8166,72
821,2022-03-31,4532,52
822,2022-04-01,7482,70
823,2022-04-02,6167,60
824,2022-04-03,7926,63
825,2022-04-04,5077,49
826,2022-04-05,5578,52
827,2022-04-06,7692,58
828,2022-04-07,6030,55
829,2022-04-08,4375,54
830,2022-04-09,8350,61
831,2022-04-10,5072,46
832,2022-04-11,7175,56
833,2022-04-12,4716,48
834,2022-04-13,7455,58
835,2022-04-14,8262,58
836,2022-04-15,8177,59
837,2022-04-16,6630,68
838,2022-04-17,5626,56
839,2022-04-18,5537,53
840,2022-04-19,8646,71
841,2022-04-20,6222,54
842,2022-04-21,5586,51
843,2022-04-22,10646,79
844,2022-04-23,6700,59
845,2022-04-24,5285,56
846,2022-04-25,5457,53
847,2022-04-26,9482,67
848,2022-04-27,7333,64
849,2022-04-28,5404,68
850,2022-04-29,6857,75
851,2022-04-30,6423,57
852,2022-05-01,7402,67
853,2022-05-02,7517,69
854,2022-05-03,8736,73
855,2022-05-04,7540,60
856,2022-05-05,7067,56
857,2022-05-06,7902,59
858,2022-05-07,8496,61
859,2022-05-08,4990,47
860,2022-05-09,7333,56
861,2022-05-10,6845,55
862,2022-05-11,7554,56
863,2022-05-12,5239,67
864,2022-05-13,5975,49
865,2022-05-14,5042,54
866,2022-05-15,6982,71
867,2022-05-16,7504,63
868,2022-05-17,5548,60
869,2022-05-18,5876,58
870,2022-05-19,7728,55
871,2022-05-20,8105,61
872,2022-05-21,8513,68
873,2022-05-22,5682,67
874,2022-05-23,5013,60
875,2022-05-24,7623,59
876,2022-05-25,7595,61
877,2022-05-26,6570,57
878,2022-05-27,7277,68
879,2022-05-28,7306,63
880,2022-05-29,6574,49
881,2022-05-30,5541,57
882,2022-05-31,5911,68
883,2022-06-01,6609,67
884,2022-06-02,5586,52
885,2022-06-03,6785,60
886,2022-06-04,6488,63
887,2022-06-05,8121,69
888,2022-06-06,4336,56
889,2022-06-07,5416,53
890,2022-06-08,6967,73
891,2022-06-09,7451,53
892,2022-06-10,6371,51
893,2022-06-11,9007,63
894,2022-06-12,6551,59
895,2022-06-13,4716,57
896,2022-06-14,4242,55
897,2022-06-15,6038,70
898,2022-06-16,7674,58
899,2022-06-17,7542,53
900,2022-06-18,5867,68
901,2022-06-19,5324,66
902,2022-06-20,5075,47
903,2022-06-21,11216,82
904,2022-06-22,7472,59
905,2022-06-23,8142,59
906,2022-06-24,8491,63
907,2022-06-25,8577,66
908,2022-06-26,6698,62
909,2022-06-27,6605,73
910,2022-06-28,6149,71
911,2022-06-29,7041,64
912,2022-06-30,7281,66
913,2022-07-01,6336,55
914,2022-07-02,8183,63
915,2022-07-03,5128,53
916,2022-07-04,7660,62
917,2022-07-05,6981,52
918,2022-07-06,8036,65
919,2022-07-07,4563,49
920,2022-07-08,6974,56
921,2022-07-09,10113,74
922,2022-07-10,7919,66
923,2022-07-11,4978,54
924,2022-07-12,5804,62
925,2022-07-13,5917,63
926,2022-07-14,4824,45
927,2022-07-15,6807,60
928,2022-07-16,5405,66
929,2022-07-17,5331,53
930,2022-07-18,7408,59
931,2022-07-19,8468,67
932,2022-07-20,5397,56
933,2022-07-21,7552,55
934,2022-07-22,5942,58
935,2022-07-23,5536,54
936,2022-07-24,7485,56
937,2022-07-25,6229,64
938,2022-07-26,8067,63
939,2022-07-27,7093,59
940,2022-07-28,5185,67
941,2022-07-29,6186,72
942,2022-07-30,6839,59
943,2022-07-31,8031,57
944,2022-08-01,7552,65
945,2022-08-02,7549,72
946,2022-08-03,7411,65
947,2022-08-04,5928,58
948,2022-08-05,4924,50
949,2022-08-06,7306,55
950,2022-08-07,5642,49
951,2022-08-08,9015,68
952,2022-08-09,5727,58
953,2022-08-10,10152,71
954,2022-08-11,7506,53
955,2022-08-12,6424,61
956,2022-08-13,6836,62
957,2022-08-14,6743,53
958,2022-08-15,6090,52
959,2022-08-16,8883,65
960,2022-08-17,9130,75
961,2022-08-18,5606,72
962,2022-08-19,6534,54
963,2022-08-20,4145,45
964,2022-08-21,4793,55
965,2022-08-22,3633,46
966,2022-08-23,5898,56
967,2022-08-24,5716,43
968,2022-08-25,8799,70
969,2022-08-26,7803,65
970,2022-08-27,7056,56
971,2022-08-28,6272,45
972,2022-08-29,4894,59
973,2022-08-30,5140,40
974,2022-08-31,8805,73
975,2022-09-01,4774,56
976,2022-09-02,7043,75
977,2022-09-03,4986,60
978,2022-09-04,5934,68
979,2022-09-05,5360,64
980,2022-09-06,5889,51
981,2022-09-07,5815,66
982,2022-09-08,6546,52
983,2022-09-09,6517,63
984,2022-09-10,5592,64
985,2022-09-11,4990,54
986,2022-09-12,5273,51
987,2022-09-13,7866,64
988,2022-09-14,6730,60
989,2022-09-15,4773,53
990,2022-09-16,5476,66
991,2022-09-17,5149,56
992,2022-09-18,6017,59
993,2022-09-19,7255,67
994,2022-09-20,9602,70
995,2022-09-21,7286,66
